,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.17,7.45,14.75,16.19,11.77,10.52,2.95,5.72,2.65,2.56,2.59,2.35,1.48,,2.94,3.3
f_1,19.19,0.16,12.81,11.0,11.78,15.1,2.13,4.77,2.58,2.42,,2.68,1.52,2.75,1.51,1.98
d_1,13.9,14.81,0.16,12.14,11.49,14.72,3.62,1.95,,2.93,2.32,3.04,2.11,2.98,1.09,2.64
c_1,12.78,14.33,14.41,0.16,12.14,16.42,3.86,3.36,1.19,,2.62,3.03,1.48,2.44,2.01,3.12
b_1,9.9,13.26,12.93,8.43,0.14,13.18,4.18,3.97,2.13,2.92,1.87,,2.3,2.53,2.04,
a_1,17.33,15.94,16.45,11.17,8.94,0.1,3.09,3.94,2.8,3.02,2.9,2.3,1.99,,1.17,
h_1,3.11,2.55,4.0,4.3,3.86,2.71,0.07,0.68,0.67,0.79,1.04,0.66,,0.57,0.36,0.64
g_1,4.68,4.36,4.65,3.48,3.5,3.94,0.82,0.06,0.56,0.82,0.57,0.76,0.29,0.49,,0.62
d_0,1.43,2.65,,1.95,2.92,2.66,0.71,0.74,0.08,0.46,0.46,0.54,0.45,,0.33,0.45
c_0,2.24,2.23,1.31,,2.45,2.24,0.69,1.0,0.62,0.08,0.55,0.63,0.33,0.49,0.31,0.54
f_0,2.85,,2.54,2.54,2.7,2.9,0.82,0.59,0.5,0.4,0.07,0.38,0.39,0.73,0.25,0.63
b_0,2.66,2.43,2.23,2.81,,2.19,0.66,0.55,0.66,0.23,0.89,0.07,0.36,0.52,0.75,0.59
h_0,1.95,1.38,1.85,1.74,1.36,2.56,,0.45,0.29,0.35,0.42,0.29,,0.29,0.26,0.26
e_0,,2.9,2.33,2.68,2.4,,0.81,0.67,,0.55,0.24,0.52,0.4,0.05,0.39,0.45
g_0,1.56,3.22,1.44,1.86,2.64,1.38,0.36,,0.35,0.33,0.42,0.39,0.14,0.42,,
a_0,3.52,2.33,2.5,2.38,,,0.93,0.66,0.56,0.44,0.46,0.28,0.36,0.49,,0.05
