,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.11,1.16,1.14,1.65,3.21,18.09,22.94,37.46,32.5,41.87,50.42,70.61,90.41,99.18,97.61
e_1,0.88,1.0,0.85,1.49,1.64,3.36,22.26,32.05,28.67,41.37,39.6,58.27,67.95,106.74,109.11,123.1
f_1,0.86,1.17,1.0,1.19,1.38,2.85,15.48,24.45,22.85,26.37,31.46,44.69,49.38,86.6,85.55,81.76
c_1,0.89,0.67,0.84,1.0,1.76,2.65,15.96,24.34,18.91,16.51,21.28,34.85,53.86,81.82,71.97,93.44
b_1,0.61,0.61,0.73,0.57,1.0,3.17,11.02,17.57,18.97,19.04,22.47,34.38,44.09,65.29,47.59,69.03
a_1,0.31,0.29,0.34,0.38,0.32,1.0,5.9,8.74,9.13,9.26,13.49,17.39,22.5,25.87,35.54,30.96
h_1,0.05,0.04,0.07,0.06,0.09,0.18,1.0,1.85,1.53,1.41,1.86,2.7,3.6,6.13,5.83,5.88
g_1,0.04,0.03,0.04,0.04,0.06,0.11,0.54,1.0,1.0,0.88,1.24,1.96,2.03,3.56,3.71,4.11
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.66,1.01,1.0,1.21,1.7,1.77,2.54,3.46,4.32,4.04
d_0,0.03,0.02,0.04,0.06,0.05,0.11,0.68,1.17,0.75,1.0,1.11,1.75,2.32,3.58,3.55,4.22
b_0,0.02,0.02,0.03,0.05,0.04,0.07,0.53,0.78,0.58,0.87,1.0,1.27,1.95,2.7,4.62,3.05
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.37,0.51,0.58,0.59,0.75,1.0,1.5,1.6,2.02,2.91
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.27,0.5,0.39,0.43,0.5,0.65,1.0,1.77,1.27,1.53
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.28,0.29,0.29,0.35,0.66,0.55,1.0,1.01,1.14
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.27,0.23,0.28,0.25,0.48,0.82,1.02,1.0,1.09
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.24,0.25,0.25,0.34,0.36,0.67,0.86,1.0,1.0
