,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.39,1.83,1.05,1.14,0.99,0.92,1.96,2.1,2.17,2.19,2.48,1.44,2.81,1.57,2.43,3.05
e_1,1.03,2.44,1.12,1.37,0.98,1.18,2.32,2.41,2.15,4.24,2.82,3.06,3.09,2.11,2.69,3.25
d_1,1.2,1.03,2.46,1.02,1.25,1.16,2.18,1.82,4.16,1.37,2.65,2.57,2.9,2.74,2.27,2.76
c_1,1.15,1.01,1.12,2.68,1.89,1.09,2.02,2.19,1.29,2.07,2.15,2.23,2.87,2.36,2.24,2.81
b_1,1.31,1.05,1.24,0.85,2.7,1.77,2.12,2.18,2.24,2.52,1.61,2.58,3.28,2.46,2.1,2.78
a_1,1.36,0.9,1.19,1.24,0.93,3.43,2.53,2.08,2.93,2.45,2.77,2.25,3.33,3.2,2.08,3.16
h_1,1.57,1.14,1.25,1.35,1.2,1.12,3.98,2.67,2.42,2.39,2.54,2.88,2.52,2.19,2.99,4.64
g_1,1.08,1.07,1.79,1.2,1.24,1.18,2.27,4.36,2.16,2.26,2.75,4.0,2.97,2.56,2.72,2.68
c_0,1.35,1.45,1.11,1.05,1.03,1.11,2.45,2.75,3.92,3.29,4.84,2.92,3.55,3.18,3.59,3.76
d_0,1.35,1.05,0.99,2.18,1.2,1.07,2.64,2.45,1.8,4.0,2.62,2.39,3.52,3.15,2.82,3.54
b_0,1.27,1.24,1.21,1.49,0.95,1.12,2.77,2.59,2.2,3.08,4.06,2.91,4.1,3.0,5.32,3.59
f_0,0.95,0.96,1.46,1.53,1.34,1.25,2.38,2.17,2.82,3.11,2.94,4.19,4.03,5.79,3.13,3.25
h_0,1.55,1.37,1.31,1.46,0.96,1.03,1.83,3.01,2.8,2.77,2.58,2.59,2.49,2.36,3.01,3.72
e_0,1.77,0.8,1.3,1.23,1.27,1.26,3.06,2.56,2.65,2.4,2.82,1.68,4.39,4.98,3.18,3.42
a_0,1.39,1.02,1.42,1.34,1.34,0.74,2.63,2.68,2.91,2.5,2.46,2.83,3.69,3.09,4.92,4.21
g_0,1.05,1.13,1.76,1.41,1.18,1.22,1.96,1.98,2.92,2.44,3.09,3.76,3.58,3.14,2.76,2.57
