,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,0.86,0.96,0.87,0.77,0.64,0.75,0.56,0.64,0.61,0.51,0.58,0.52,0.45,0.55
e_1,0.81,1.0,1.01,1.17,0.92,0.87,0.74,0.75,0.65,0.93,0.66,0.69,0.62,0.62,0.61,0.59
d_1,1.16,1.01,1.0,0.94,0.89,0.8,0.68,0.55,0.86,0.6,0.7,0.59,0.56,0.56,0.58,0.46
c_1,1.06,0.86,1.06,1.0,1.36,0.84,0.73,0.68,0.6,0.47,0.56,0.66,0.57,0.6,0.56,0.58
b_1,1.15,1.09,1.13,0.75,1.0,1.21,0.81,0.75,0.76,0.65,0.64,0.68,0.52,0.61,0.59,0.56
a_1,1.27,1.15,1.24,1.19,0.83,1.0,0.87,0.74,0.75,0.76,0.87,0.76,0.78,0.76,0.78,0.76
h_1,1.6,1.35,1.47,1.31,1.25,1.11,1.0,1.04,0.81,0.87,0.84,0.9,0.85,0.89,0.73,0.94
g_1,1.41,1.35,1.83,1.43,1.3,1.23,0.95,1.0,1.07,0.94,0.95,1.11,0.82,0.84,0.91,0.92
c_0,1.76,1.55,1.17,1.65,1.31,1.28,1.25,0.94,1.0,1.21,1.42,0.98,1.02,0.9,0.92,0.96
d_0,1.47,1.06,1.78,2.1,1.55,1.29,1.13,1.06,0.8,1.0,0.88,0.99,0.86,0.96,0.91,0.86
b_0,1.63,1.52,1.39,1.88,1.55,1.13,1.22,1.06,0.71,1.12,1.0,0.93,1.27,1.06,1.03,0.93
f_0,1.97,1.46,1.68,1.46,1.49,1.33,1.14,0.89,0.97,1.05,1.07,1.0,0.96,0.99,1.32,0.73
a_0,1.76,1.64,1.74,1.8,1.82,1.26,1.2,1.18,1.01,1.12,0.78,1.04,1.0,1.15,1.01,0.97
h_0,1.92,1.61,1.8,1.62,1.65,1.31,1.14,1.22,1.09,1.01,0.95,1.01,0.88,1.0,0.88,1.07
e_0,2.29,1.75,1.74,1.72,1.68,1.12,1.36,1.02,1.12,1.09,1.01,0.77,1.04,1.17,1.0,0.89
g_0,1.76,1.67,2.14,1.72,1.78,1.33,1.06,1.07,1.11,1.09,1.05,1.32,1.07,0.94,1.13,1.0
