,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.17,1.02,0.81,0.82,0.65,0.41,0.42,0.4,0.36,0.34,0.31,0.28,0.25,0.3,0.29
e_1,0.85,1.0,1.02,0.79,0.88,0.72,0.5,0.62,0.52,0.4,0.39,0.47,0.35,0.35,0.34,0.33
c_1,0.98,0.95,1.0,1.09,1.23,0.79,0.51,0.32,0.45,0.32,0.34,0.35,0.3,0.3,0.28,0.31
d_1,1.24,1.25,0.93,1.0,0.9,0.69,0.58,0.5,0.37,0.61,0.47,0.4,0.38,0.38,0.41,0.27
b_1,1.21,1.15,0.83,1.12,1.0,1.31,0.53,0.5,0.44,0.56,0.4,0.44,0.39,0.36,0.31,0.33
a_1,1.54,1.4,1.22,1.39,0.78,1.0,0.74,0.66,0.61,0.53,0.65,0.5,0.52,0.44,0.47,0.47
h_1,2.44,1.96,2.0,1.72,1.9,1.26,1.0,0.82,0.96,0.78,0.71,0.76,0.63,0.64,0.6,0.64
d_0,2.4,1.61,3.09,2.16,2.11,1.41,1.21,1.0,1.14,0.79,0.79,0.74,0.8,0.84,0.74,0.71
g_1,2.52,1.91,2.23,2.71,2.21,1.67,1.05,0.88,1.0,0.94,0.86,1.04,0.66,0.8,0.66,0.67
c_0,2.94,2.51,2.88,1.66,1.79,1.8,1.21,1.28,1.07,1.0,1.42,0.99,0.81,0.8,0.92,0.71
b_0,3.05,2.53,3.1,2.15,2.43,1.52,1.41,1.24,1.18,0.74,1.0,0.92,0.83,0.87,1.15,0.76
f_0,2.92,2.26,2.93,2.57,2.36,1.89,1.29,1.28,0.98,1.01,1.03,1.0,0.94,1.15,0.72,0.64
h_0,3.6,2.87,3.35,2.65,2.66,1.86,1.58,1.21,1.48,1.19,1.12,1.05,1.0,0.94,0.85,1.03
e_0,3.85,2.9,3.5,2.7,2.73,2.3,1.6,1.21,1.32,1.27,1.08,0.88,1.02,1.0,0.93,0.87
a_0,3.27,3.07,3.39,2.52,3.22,2.17,1.69,1.35,1.51,1.11,0.89,1.33,1.2,1.13,1.0,0.95
g_0,3.42,3.17,3.46,3.62,2.98,2.12,1.52,1.48,1.42,1.42,1.28,1.49,0.96,1.09,1.02,1.0
