,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.15,0.83,1.01,0.84,0.74,0.84,0.58,0.6,0.63,0.7,0.62,0.56,0.58,0.69
f_1,1.24,1.0,0.98,0.92,0.88,0.68,0.53,0.66,0.54,0.52,0.56,0.48,0.48,0.6,0.44,0.56
c_1,0.86,1.03,1.0,1.24,1.27,0.82,0.72,0.47,0.53,0.48,0.59,0.52,0.53,0.48,0.64,0.53
d_1,1.19,1.09,0.8,1.0,0.91,0.89,0.75,0.72,0.87,0.79,0.6,0.63,0.62,0.6,0.56,0.48
b_1,0.99,1.14,0.79,1.1,1.0,1.41,0.76,0.79,0.69,0.76,0.62,0.73,0.69,0.62,0.58,0.52
a_1,1.18,1.48,1.2,1.11,0.72,1.0,0.87,0.88,0.93,0.92,0.77,0.7,0.82,0.73,0.74,0.72
h_1,1.36,1.9,1.4,1.31,1.34,1.13,1.0,0.82,0.92,0.85,0.93,0.9,0.77,0.76,0.84,0.87
d_0,1.16,1.45,2.1,1.43,1.38,1.2,1.18,1.0,0.81,0.93,1.09,0.87,0.92,0.82,0.96,0.95
c_0,1.82,1.72,1.81,1.14,1.36,1.13,1.07,1.17,1.0,1.21,0.97,0.96,0.93,0.93,0.91,0.78
b_0,1.67,1.92,2.04,1.31,1.27,1.06,1.12,1.09,0.83,1.0,1.0,0.92,0.95,1.36,0.93,0.97
g_1,1.65,1.76,1.65,1.73,1.56,1.36,1.11,0.9,0.97,1.0,1.0,1.09,0.73,0.83,0.81,0.92
f_0,1.41,1.99,1.99,1.67,1.43,1.34,1.19,1.11,1.01,1.04,0.98,1.0,1.03,0.91,1.44,0.75
h_0,1.6,2.14,1.75,1.62,1.46,1.2,1.3,1.06,1.04,1.09,1.44,0.94,1.0,0.97,0.92,1.07
a_0,1.82,1.69,2.09,1.63,1.64,1.32,1.43,1.28,0.97,0.72,1.21,1.1,1.03,1.0,0.97,1.03
e_0,1.67,2.18,1.64,1.88,1.65,1.3,1.14,1.08,1.09,1.1,1.26,0.71,1.14,1.07,1.0,0.92
g_0,1.53,1.74,1.93,2.17,1.75,1.35,1.18,1.01,1.16,0.97,1.07,1.33,0.93,0.96,1.05,1.0
