,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.92,0.67,0.37,0.39,0.29,0.21,0.33,0.29,0.34,0.29,0.29,0.21,0.35,0.22,0.24,0.12
e_1,0.44,0.92,0.33,0.47,0.35,0.26,0.37,0.28,0.61,0.32,0.34,0.3,0.35,0.21,0.29,0.17
d_1,0.46,0.37,0.92,0.33,0.31,0.23,0.41,0.33,0.28,0.57,0.42,0.29,0.4,0.29,0.29,0.21
c_1,0.47,0.41,0.34,0.91,0.56,0.28,0.34,0.29,0.33,0.24,0.23,0.28,0.36,0.25,0.26,0.21
b_1,0.48,0.41,0.37,0.36,0.9,0.47,0.35,0.27,0.36,0.27,0.21,0.28,0.41,0.16,0.32,0.19
a_1,0.5,0.41,0.43,0.35,0.35,0.89,0.39,0.31,0.35,0.38,0.36,0.32,0.41,0.16,0.28,0.2
h_1,0.63,0.46,0.47,0.4,0.3,0.21,0.65,0.4,0.38,0.34,0.36,0.27,0.3,0.26,0.38,0.24
g_1,0.46,0.39,0.59,0.38,0.34,0.25,0.39,0.63,0.32,0.36,0.35,0.39,0.37,0.27,0.25,0.23
d_0,0.47,0.43,0.31,0.69,0.35,0.26,0.38,0.27,0.55,0.25,0.38,0.29,0.37,0.26,0.27,0.23
c_0,0.54,0.42,0.5,0.34,0.24,0.24,0.45,0.37,0.36,0.57,0.65,0.31,0.46,0.33,0.36,0.28
b_0,0.53,0.43,0.49,0.46,0.24,0.21,0.44,0.36,0.38,0.4,0.57,0.31,0.43,0.51,0.31,0.27
f_0,0.42,0.37,0.48,0.42,0.4,0.26,0.44,0.34,0.4,0.41,0.41,0.54,0.44,0.31,0.37,0.48
h_0,0.59,0.44,0.46,0.39,0.36,0.24,0.33,0.39,0.33,0.35,0.36,0.3,0.31,0.28,0.4,0.2
a_0,0.62,0.42,0.45,0.42,0.32,0.17,0.48,0.33,0.36,0.36,0.36,0.32,0.44,0.48,0.35,0.29
g_0,0.44,0.39,0.61,0.39,0.34,0.24,0.34,0.27,0.37,0.4,0.4,0.51,0.46,0.27,0.3,0.29
e_0,0.6,0.44,0.43,0.44,0.35,0.21,0.41,0.35,0.39,0.39,0.37,0.29,0.45,0.35,0.35,0.46
