,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.17,0.57,0.64,0.64,0.72,0.65,0.14,0.22,0.13,0.13,0.12,0.2,0.11,0.06,0.11,0.13
e_1,0.39,0.17,0.74,0.64,0.75,0.68,0.22,0.2,0.16,0.14,0.14,0.17,0.14,0.1,0.1,0.23
d_1,0.66,0.76,0.16,0.71,0.6,0.56,0.18,0.1,0.26,0.13,0.14,0.12,0.13,0.09,0.06,0.13
c_1,0.61,0.58,0.78,0.15,0.65,0.68,0.19,0.17,0.07,0.26,0.12,0.12,0.12,0.09,0.1,0.11
b_1,0.67,0.76,0.73,0.35,0.13,0.6,0.23,0.25,0.15,0.17,0.24,0.15,0.17,0.11,0.11,0.16
a_1,0.83,0.7,0.55,0.78,0.32,0.1,0.22,0.21,0.15,0.15,0.16,0.12,0.48,0.14,0.09,0.15
h_1,0.59,0.42,0.53,0.58,0.54,0.44,0.06,0.17,0.11,0.11,0.11,0.1,0.1,0.13,0.07,0.1
g_1,0.57,0.54,0.5,0.64,0.53,0.46,0.11,0.05,0.11,0.11,0.11,0.1,0.09,0.05,0.11,0.09
d_0,0.53,0.29,1.25,0.55,0.53,0.53,0.13,0.24,0.06,0.11,0.11,0.1,0.11,0.09,0.07,0.1
c_0,0.67,0.48,0.26,1.04,0.63,0.52,0.13,0.17,0.16,0.06,0.12,0.11,0.12,0.09,0.09,0.1
b_0,0.52,0.43,0.38,0.77,1.36,0.53,0.16,0.15,0.12,0.05,0.05,0.1,0.11,0.08,0.09,0.1
f_0,0.89,0.47,0.45,0.54,0.51,0.52,0.16,0.11,0.11,0.09,0.12,0.05,0.11,0.08,0.05,0.14
a_0,0.54,0.44,0.5,0.51,0.77,0.87,0.16,0.16,0.1,0.09,0.05,0.1,0.04,0.08,0.07,0.08
h_0,0.57,0.51,0.47,0.53,0.55,0.4,0.22,0.16,0.11,0.11,0.09,0.1,0.11,0.12,0.07,0.11
g_0,0.57,0.49,0.48,0.56,0.55,0.47,0.11,0.19,0.11,0.11,0.1,0.1,0.11,0.06,0.11,0.08
e_0,0.74,0.71,0.44,0.56,0.47,0.48,0.13,0.15,0.1,0.09,0.1,0.04,0.14,0.08,0.06,0.03
