,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.85,0.7,0.48,0.89,0.7,0.5,0.97,2.05,0.87,0.86,1.05,1.0,1.07,1.32,0.64,0.86
f_1,1.65,12.1,0.66,0.56,0.49,0.57,0.82,0.84,0.78,0.97,0.94,0.55,0.77,0.83,0.7,0.77
d_1,0.55,0.94,16.3,0.46,0.49,0.66,0.99,0.58,0.88,2.5,1.41,0.86,1.09,1.08,1.09,0.98
c_1,0.51,0.51,0.59,15.61,1.8,0.66,0.79,0.88,0.83,0.34,0.69,0.9,0.96,0.83,0.93,0.89
b_1,0.43,0.53,0.69,0.74,15.05,1.8,0.92,0.77,0.97,0.85,0.49,1.16,0.92,0.71,0.95,1.12
a_1,0.7,0.68,0.76,0.71,0.52,20.92,1.04,0.92,1.12,0.8,0.9,1.16,1.14,0.53,1.16,1.14
h_1,0.73,1.33,0.91,0.67,0.72,0.62,3.6,0.88,1.51,1.04,1.01,1.1,0.62,0.96,1.03,1.46
d_0,0.61,0.71,0.49,2.33,0.94,0.62,0.97,2.23,0.88,0.55,0.98,1.05,1.23,1.01,1.07,1.14
g_1,0.56,0.64,1.74,0.57,0.66,0.69,1.01,0.67,5.28,1.14,0.94,1.9,1.04,1.04,1.49,0.76
c_0,0.72,0.99,1.05,0.58,0.45,0.65,1.44,1.28,1.1,2.5,3.03,1.14,1.22,1.56,1.29,1.51
b_0,0.8,0.93,0.88,0.75,0.44,0.55,1.28,1.03,1.31,1.23,3.14,0.97,1.32,3.06,1.35,1.43
f_0,0.58,0.43,0.8,0.84,0.93,0.94,1.31,1.17,1.26,1.09,1.18,3.45,1.32,1.04,3.57,1.2
h_0,0.79,1.19,0.83,0.8,0.81,0.75,0.62,0.95,1.45,0.91,0.89,0.9,0.67,0.8,1.01,1.53
a_0,0.86,0.81,0.85,0.8,0.7,0.43,1.31,1.26,0.95,0.97,1.38,1.26,1.47,3.3,1.23,1.1
e_0,0.53,1.04,0.95,0.78,0.88,0.62,1.09,0.98,1.15,1.18,1.03,1.18,1.44,0.94,3.12,1.53
g_0,0.66,0.73,1.72,0.75,0.65,0.7,0.95,0.8,0.65,1.13,1.14,1.79,0.99,1.21,1.13,0.79
