,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.87,0.96,0.82,0.93,0.57,0.55,0.65,0.6,0.57,0.51,0.48,0.52,0.61,0.43
e_1,0.81,1.0,0.92,1.21,0.94,0.76,0.79,0.68,0.73,0.95,0.63,0.82,0.65,0.65,0.61,0.62
d_1,1.15,1.09,1.0,0.9,0.94,0.72,0.69,0.91,0.53,0.59,0.68,0.62,0.6,0.51,0.47,0.6
c_1,1.06,0.83,1.12,1.0,1.27,0.82,0.78,0.56,0.63,0.47,0.52,0.56,0.61,0.54,0.6,0.52
b_1,1.2,1.06,1.07,0.79,1.0,1.3,0.82,0.77,0.66,0.7,0.78,0.67,0.7,0.6,0.58,0.58
a_1,1.08,1.31,1.4,1.21,0.77,1.0,0.85,0.83,0.95,0.82,0.85,0.77,0.79,0.76,0.78,0.69
h_1,1.79,1.25,1.47,1.27,1.19,1.12,1.0,0.85,1.06,0.97,0.99,0.79,0.84,0.73,0.98,0.77
c_0,1.79,1.46,1.08,1.71,1.25,1.29,1.2,1.0,1.15,1.31,1.42,1.0,0.94,1.0,0.85,0.86
g_1,1.5,1.4,1.82,1.6,1.53,1.04,0.94,0.85,1.0,0.88,0.9,1.04,0.67,0.92,0.71,0.92
d_0,1.58,1.0,1.75,2.18,1.5,1.23,1.06,0.78,1.13,1.0,0.97,0.93,0.97,0.92,0.97,0.88
b_0,1.78,1.49,1.5,1.96,1.31,1.12,1.04,0.71,1.12,1.03,1.0,0.98,0.98,1.47,0.95,0.85
f_0,1.94,1.24,1.67,1.76,1.47,1.27,1.29,1.0,0.89,1.03,0.91,1.0,0.91,0.98,0.68,1.36
h_0,2.06,1.57,1.65,1.58,1.43,1.18,1.22,1.04,1.55,1.04,0.97,1.02,0.99,0.92,1.03,0.8
a_0,1.91,1.52,1.93,1.87,1.82,1.17,1.48,1.04,1.02,1.12,0.73,1.03,1.14,1.0,1.0,1.11
g_0,1.66,1.58,2.19,1.74,1.65,1.19,1.01,1.2,1.42,1.03,1.07,1.47,0.96,0.94,1.0,1.1
e_0,2.36,1.77,1.68,1.98,1.73,1.42,1.31,1.15,1.03,1.07,1.13,0.75,1.26,0.98,0.93,1.0
