,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,1.44,1.31,1.84,1.55,1.38,2.74,4.82,2.94,3.02,3.45,3.55,4.5,3.6,2.96,3.84
f_1,2.12,2.45,1.36,1.5,1.3,1.26,2.76,3.31,3.0,2.74,3.24,2.41,3.41,3.11,2.47,4.21
d_1,1.5,1.57,2.59,1.11,1.48,1.45,2.95,2.27,4.91,2.61,3.57,3.35,4.17,3.57,3.35,3.75
c_1,1.22,1.38,1.54,2.68,2.45,1.51,2.68,2.78,2.04,2.48,2.66,2.95,3.88,2.86,3.31,3.96
b_1,1.32,1.5,1.46,1.3,2.85,2.62,2.83,3.08,3.29,3.39,2.75,3.48,3.92,2.85,3.56,3.66
a_1,1.54,1.84,1.46,1.54,1.21,3.23,3.2,3.53,2.94,2.25,3.3,2.92,4.2,2.84,3.79,4.57
h_1,1.43,1.92,1.68,1.49,1.43,1.29,4.18,3.14,3.48,3.77,3.33,3.43,3.67,3.76,3.12,5.13
d_0,1.36,1.63,1.3,2.43,1.64,1.46,2.77,4.12,2.62,2.98,2.98,3.26,4.45,3.38,3.44,4.29
c_0,1.65,1.85,1.46,1.34,1.43,1.62,3.31,3.29,4.29,3.11,5.15,3.37,4.26,4.24,3.59,4.45
g_1,1.29,1.43,2.35,1.54,1.23,1.72,2.8,2.89,3.24,4.72,3.1,4.43,3.76,2.94,4.29,3.76
b_0,1.6,1.59,1.63,1.74,1.23,1.36,3.24,3.37,3.1,3.23,4.42,3.44,4.49,6.05,3.55,4.38
f_0,1.24,1.44,1.77,1.81,1.42,1.68,3.04,3.42,3.6,2.99,3.61,4.71,4.75,3.76,6.23,3.99
h_0,1.49,1.92,1.54,1.62,1.6,1.41,2.93,3.17,3.29,4.05,3.36,3.4,3.68,3.37,3.63,5.13
a_0,1.64,1.69,1.68,1.54,1.51,0.99,3.27,2.98,3.14,3.5,2.86,3.73,4.79,5.33,3.24,4.31
e_0,1.26,1.86,1.67,1.48,1.61,1.5,3.61,3.32,3.63,3.03,4.06,3.18,4.21,3.88,5.54,4.26
g_0,1.43,1.34,2.1,1.52,1.59,1.33,2.76,2.75,3.38,2.62,3.47,4.65,4.02,4.23,4.06,3.76
