,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.39,0.86,1.16,1.34,1.0,0.84,2.05,1.55,1.88,3.65,2.02,1.98,2.61,1.78,1.33,2.25
d_1,1.1,2.43,1.09,0.87,0.93,0.82,2.19,1.89,3.8,1.31,2.17,2.4,2.7,2.13,2.08,2.71
f_1,1.72,1.0,2.44,0.96,0.83,0.75,1.91,1.76,2.02,2.19,1.51,2.05,2.28,2.02,1.1,2.3
c_1,0.88,1.01,1.11,2.53,1.73,0.97,1.87,1.5,1.42,1.89,1.9,1.28,2.87,1.39,1.74,2.67
b_1,1.01,1.02,1.04,1.02,2.58,1.65,1.94,1.74,1.6,2.05,1.82,1.3,2.81,1.32,1.89,2.46
a_1,1.14,1.14,1.1,1.06,1.01,3.02,2.01,1.98,1.9,2.09,1.97,2.06,2.53,1.52,2.13,2.23
h_1,1.08,1.22,1.47,1.14,0.98,0.77,3.45,2.3,2.2,2.01,2.27,2.45,2.24,1.85,1.9,3.44
g_1,1.05,1.63,1.09,0.93,0.99,0.95,2.18,3.8,2.66,1.82,3.14,2.37,2.56,1.85,2.19,2.5
c_0,1.16,1.37,1.24,0.89,0.93,0.79,2.42,2.11,3.51,2.25,2.5,4.18,2.99,2.85,2.03,2.89
d_0,1.01,0.85,1.17,1.97,1.21,0.79,2.09,1.62,1.41,3.4,1.96,1.94,2.83,1.71,1.75,2.68
f_0,0.93,1.19,1.13,1.15,1.22,0.87,2.41,2.33,2.44,2.18,3.64,2.58,3.27,1.85,3.93,3.19
b_0,1.06,1.4,1.3,1.19,0.8,0.62,2.21,1.97,2.38,2.09,2.39,3.66,3.31,3.98,2.18,2.88
h_0,1.05,1.26,1.44,1.19,1.03,0.95,1.66,2.44,2.03,2.15,2.2,2.25,2.16,2.07,1.98,3.71
a_0,1.05,1.25,1.3,1.19,0.99,0.68,2.4,2.02,2.39,2.2,2.28,2.45,3.31,3.79,2.34,3.31
e_0,0.9,1.34,1.25,1.11,1.0,0.91,2.56,2.13,2.42,2.03,2.46,2.5,3.56,2.0,4.07,3.23
g_0,0.9,1.63,0.96,1.25,0.99,0.91,1.91,1.61,2.37,1.79,3.17,2.25,2.77,1.79,2.36,2.34
