,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,10.64,11.25,10.69,10.23,9.27,2.18,3.45,1.97,1.81,2.04,8.06,1.04,2.53,1.7,2.54
e_1,5.92,1.14,12.84,12.84,10.86,13.23,3.08,4.24,2.4,2.11,2.71,2.38,1.77,2.18,9.53,1.61
d_1,12.46,12.58,1.13,12.33,13.13,12.22,3.35,2.19,10.56,2.24,2.33,2.39,1.62,2.33,2.63,0.9
c_1,12.37,10.99,18.05,1.14,11.91,10.04,4.31,3.94,1.41,11.29,2.75,2.76,1.74,1.97,2.66,2.08
b_1,17.68,13.46,12.74,7.44,1.15,20.62,4.67,3.74,3.0,4.02,15.03,2.54,2.44,2.73,3.15,1.77
a_1,22.18,24.33,28.61,26.78,10.12,1.15,4.77,5.47,4.07,5.37,4.22,3.77,4.88,37.0,4.15,3.06
h_1,26.22,28.96,24.46,24.1,31.5,26.64,1.88,7.44,7.62,5.8,4.73,5.43,12.06,4.68,4.76,4.32
g_1,55.96,37.62,23.77,36.01,32.59,35.52,8.32,1.89,7.36,7.36,7.15,7.59,3.66,7.68,5.31,13.57
d_0,35.37,17.8,116.41,32.3,46.48,27.01,10.24,12.26,2.85,8.85,7.51,6.88,5.39,7.54,5.79,6.48
c_0,39.46,35.43,16.96,136.22,41.09,28.21,10.91,10.85,8.4,2.53,5.75,6.0,5.54,7.02,5.79,4.83
b_0,36.05,36.49,33.76,42.92,105.0,30.94,11.35,10.51,6.62,3.95,2.59,7.48,5.19,7.27,6.61,5.48
f_0,170.41,42.43,30.41,47.47,39.93,38.36,13.33,7.98,8.97,8.97,9.16,2.57,6.72,7.27,6.35,4.19
h_0,60.47,52.13,46.25,54.02,76.62,41.7,33.6,11.82,8.73,13.37,9.93,8.46,15.77,9.25,9.53,10.18
a_0,59.51,53.66,50.39,50.53,67.5,,17.87,15.76,10.23,9.49,4.84,13.95,7.45,2.87,10.45,9.83
e_0,69.43,173.76,53.59,59.11,72.69,71.04,21.54,22.83,13.37,14.89,11.72,8.75,6.31,11.97,2.87,10.56
g_0,78.1,89.0,61.38,78.32,83.38,100.95,15.85,,14.89,13.37,15.03,12.9,7.45,15.07,14.73,25.91
