,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.87,1.31,0.95,0.98,0.62,0.63,0.66,0.66,0.57,0.64,0.5,0.44,0.53,0.38,0.55
d_1,1.15,1.0,0.98,0.88,0.87,0.84,0.77,0.63,0.58,0.96,0.66,0.63,0.63,0.64,0.61,0.47
e_1,0.76,1.03,1.0,1.17,0.93,0.9,0.71,0.96,0.74,0.59,0.68,0.77,0.66,0.58,0.66,0.62
c_1,1.04,1.17,0.85,1.0,1.36,0.96,0.6,0.49,0.65,0.56,0.56,0.58,0.62,0.57,0.5,0.57
b_1,1.01,1.16,1.07,0.73,1.0,1.22,0.86,0.7,0.69,0.74,0.64,0.61,0.7,0.52,0.67,0.66
a_1,1.63,1.19,1.11,1.05,0.82,1.0,0.84,0.78,0.9,0.73,0.75,0.71,0.77,0.7,0.74,0.58
h_1,1.58,1.32,1.42,1.68,1.17,1.19,1.0,0.86,1.12,0.82,0.88,0.88,0.81,0.69,0.76,1.0
d_0,1.51,1.53,0.98,2.08,1.53,1.33,1.18,1.0,0.95,0.78,1.0,0.97,0.85,0.83,0.88,0.84
g_1,1.5,1.78,1.39,1.57,1.39,1.15,0.92,0.98,1.0,0.97,0.95,1.16,0.79,0.98,0.84,0.99
c_0,1.67,1.03,1.59,1.84,1.3,1.35,1.19,1.31,1.05,1.0,1.51,0.95,1.02,0.85,0.84,0.92
b_0,1.58,1.57,1.43,1.83,1.48,1.27,1.14,0.96,1.05,0.67,1.0,0.97,1.09,1.3,1.0,0.91
f_0,1.94,1.54,1.32,1.75,1.55,1.45,1.08,1.02,0.93,1.06,0.97,1.0,0.96,0.87,1.39,0.73
h_0,2.15,1.56,1.55,1.67,1.39,1.25,1.25,1.19,1.34,0.96,0.9,1.05,1.0,0.85,0.85,1.19
a_0,1.79,1.57,1.61,1.74,2.05,1.49,1.47,1.2,1.04,1.28,0.79,1.18,1.23,1.0,0.91,1.06
e_0,2.63,1.64,1.51,1.93,1.66,1.41,1.33,1.15,1.22,1.21,1.07,0.73,1.15,1.21,1.0,0.89
g_0,1.83,2.11,1.5,1.76,1.54,1.7,0.99,1.12,1.03,1.12,1.09,1.32,0.83,0.95,1.12,1.0
