,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,29.8,33.46,32.51,33.59,29.81,7.41,7.84,9.41,6.22,7.29,,2.61,8.25,6.82,5.31
d_1,36.46,0.44,34.08,32.32,27.51,29.96,13.71,,6.37,10.04,5.91,6.68,4.21,5.75,5.5,3.3
e_1,17.98,49.87,0.44,32.28,36.96,33.83,7.88,8.05,12.12,5.47,7.53,6.67,5.12,5.74,,9.17
c_1,35.0,38.93,46.04,0.42,49.04,46.73,8.18,3.06,12.88,,6.56,8.08,5.43,7.66,6.33,4.11
b_1,35.99,38.06,36.8,22.65,0.4,32.19,13.03,7.33,8.58,9.13,,5.87,5.33,10.05,,4.68
a_1,67.09,45.7,35.84,37.06,24.45,0.34,14.37,8.69,12.34,11.66,13.03,7.14,6.69,,,4.98
h_1,14.23,15.23,22.8,22.67,13.92,18.29,0.37,4.1,4.49,3.49,3.37,3.67,,3.54,3.25,2.76
d_0,19.3,,8.49,17.19,15.94,12.86,5.02,0.51,3.34,2.68,2.56,2.78,2.09,3.37,2.94,2.61
g_1,17.54,18.55,26.09,16.06,27.97,19.18,4.24,5.2,0.34,4.85,4.84,3.58,1.97,5.79,4.87,
c_0,14.92,10.17,13.61,,19.26,19.74,3.16,3.37,5.49,0.48,4.48,3.21,2.53,2.81,2.19,2.22
b_0,13.54,18.37,18.98,20.45,,22.83,4.62,2.86,4.75,1.9,0.47,3.18,2.1,3.93,4.51,1.88
f_0,,22.79,20.01,16.49,17.27,17.7,4.51,4.53,3.28,3.1,3.67,0.43,2.76,5.05,3.4,1.27
h_0,18.25,10.03,11.51,12.51,10.31,13.19,,2.7,3.94,2.32,2.16,3.28,,1.6,1.81,2.29
a_0,27.12,16.61,22.68,22.1,29.75,,5.52,3.73,6.52,4.71,2.27,4.3,3.9,0.38,,2.38
e_0,33.99,18.81,,27.24,,,4.57,4.57,5.08,4.52,2.9,3.63,2.28,,0.36,3.42
g_0,14.54,14.09,19.41,12.55,12.99,18.86,2.92,2.46,,3.16,3.44,3.05,1.72,2.51,3.46,
