,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.92,0.86,0.81,0.6,0.43,0.43,0.36,0.34,0.39,0.42,0.29,0.23,0.31,0.36
e_1,0.75,1.0,1.04,1.01,0.82,0.79,0.54,0.51,0.4,0.59,0.46,0.41,0.32,0.43,0.36,0.31
d_1,1.09,0.96,1.0,0.94,0.94,0.72,0.48,0.33,0.64,0.36,0.37,0.41,0.31,0.36,0.26,0.23
c_1,1.17,0.99,1.06,1.0,1.43,0.72,0.51,0.54,0.46,0.33,0.41,0.43,0.37,0.4,0.32,0.32
b_1,1.23,1.22,1.06,0.7,1.0,1.13,0.55,0.54,0.44,0.51,0.5,0.46,0.44,0.39,0.33,0.33
a_1,1.65,1.26,1.39,1.39,0.88,1.0,0.75,0.63,0.72,0.64,0.58,0.72,0.56,0.47,,0.44
h_1,2.33,1.83,2.05,2.0,1.85,1.35,1.0,0.99,0.73,0.77,0.99,0.68,0.77,0.52,0.72,0.8
g_1,2.31,1.91,2.98,1.89,1.84,1.5,1.04,1.0,0.79,0.71,1.13,0.87,0.62,0.73,0.75,0.61
c_0,2.78,2.66,1.61,2.08,2.21,1.35,1.35,1.31,1.0,1.09,0.98,1.36,0.87,0.75,0.81,0.78
d_0,2.86,1.65,2.81,3.21,2.14,1.68,1.28,1.47,0.87,1.0,0.85,0.87,0.84,1.0,0.83,0.84
f_0,2.64,2.01,2.67,2.44,2.13,1.68,1.01,0.85,1.01,1.15,1.0,0.94,1.0,1.4,0.88,0.63
b_0,2.5,2.37,2.41,2.58,2.15,1.52,1.46,1.13,0.74,1.14,0.98,1.0,0.98,0.85,1.12,0.72
h_0,3.48,3.02,3.15,2.74,2.12,1.73,1.32,1.61,1.17,1.13,0.99,1.04,1.0,0.75,1.0,0.95
e_0,4.38,2.33,2.9,2.62,2.67,1.89,1.96,1.35,1.34,1.01,0.72,1.17,1.28,1.0,0.97,0.92
a_0,3.11,2.72,3.46,2.99,3.03,,1.36,1.43,1.29,1.19,1.14,0.87,1.08,1.04,1.0,1.01
g_0,2.64,3.16,4.42,3.2,3.03,2.26,1.25,1.56,1.27,1.16,1.51,1.41,1.08,1.07,0.95,1.0
