,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.46,0.15,0.13,0.18,0.16,0.15,0.17,0.33,0.19,0.17,0.19,0.17,0.22,,0.14,0.19
f_1,0.26,1.49,0.15,0.18,0.19,0.15,0.19,0.2,0.15,0.2,0.21,,0.21,0.15,0.15,0.15
d_1,0.18,0.16,1.53,0.15,0.19,0.12,0.2,,0.15,0.34,0.21,0.23,0.21,0.2,0.15,0.13
c_1,0.15,0.15,0.2,1.55,0.23,0.19,0.22,0.14,0.19,,0.19,0.22,0.23,0.15,0.21,0.2
b_1,0.2,0.16,0.15,0.15,1.58,0.24,0.2,0.25,0.17,0.14,,0.24,0.33,0.17,,0.16
a_1,0.18,0.18,0.22,0.16,0.11,1.76,0.19,0.27,,0.31,0.19,0.17,0.23,,,
h_1,0.4,0.51,0.4,0.42,0.44,0.33,1.66,0.52,0.52,0.41,0.46,0.29,,0.36,0.27,0.53
d_0,0.43,0.52,,0.88,0.42,0.29,0.48,1.41,0.51,0.51,0.5,0.62,0.49,0.33,0.6,0.44
g_1,0.36,0.35,0.6,0.36,0.4,,0.38,0.49,1.75,0.45,0.42,0.56,0.46,0.45,0.51,
c_0,0.51,0.52,0.46,,0.47,0.3,0.63,0.5,0.48,1.46,0.84,0.44,0.64,0.45,,0.56
b_0,0.63,0.52,0.45,0.39,,0.3,0.57,0.56,0.52,0.48,1.49,0.44,0.59,0.49,0.83,0.51
f_0,0.59,,0.42,0.31,0.4,0.5,0.78,0.51,0.61,0.65,0.58,1.5,0.6,0.64,,0.6
h_0,0.66,0.83,0.67,0.48,0.36,0.42,,0.97,0.82,0.77,0.59,0.62,,0.56,0.5,0.77
e_0,,0.64,0.44,0.51,0.43,,0.67,0.68,0.46,0.61,0.55,0.62,0.68,1.66,,0.66
a_0,0.57,0.62,0.56,0.44,,,0.69,0.47,0.48,,0.58,,0.64,,1.66,
g_0,0.57,0.72,0.98,0.71,0.75,,0.57,0.73,,0.78,0.57,0.82,0.81,0.58,,
