,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,9.93,6.26,7.72,9.7,11.73,3.34,3.63,3.15,2.31,2.64,2.85,2.29,2.23,,2.09
d_1,10.27,1.07,10.31,10.74,9.16,7.38,4.53,2.18,,3.03,3.22,2.57,1.52,3.65,1.91,1.57
f_1,12.75,9.73,1.07,7.59,9.55,14.49,2.5,3.97,2.55,2.77,2.61,,1.47,3.17,2.29,2.2
c_1,11.63,10.19,9.85,1.07,11.63,8.79,4.02,2.96,2.06,,2.65,3.19,2.25,2.33,3.22,1.82
b_1,9.29,9.75,10.38,6.56,1.07,11.12,4.4,4.75,3.26,3.52,,3.0,2.38,,3.33,2.7
a_1,12.99,16.35,11.16,15.16,8.29,1.07,3.48,7.5,4.82,5.38,3.9,4.31,4.27,,,3.08
h_1,15.07,11.16,16.55,13.69,12.19,15.99,1.41,5.38,4.67,4.83,4.46,3.45,,3.02,3.03,3.07
g_1,15.62,16.34,16.3,17.5,12.38,11.5,4.8,1.41,3.89,4.6,3.53,5.35,2.89,3.85,4.66,
d_0,9.06,,14.66,16.4,12.71,12.46,4.94,5.91,1.71,5.06,4.13,3.87,3.59,4.47,2.91,3.53
c_0,16.39,10.0,13.78,,12.16,9.92,4.7,5.46,4.74,1.77,5.15,4.87,4.06,3.65,3.33,2.07
b_0,18.18,12.91,17.84,19.2,,14.82,5.99,7.23,5.07,2.6,1.7,4.25,3.08,4.76,3.43,2.71
f_0,15.28,16.08,,22.98,17.61,11.52,7.53,4.03,5.72,4.89,5.73,1.72,3.53,4.04,5.91,2.48
h_0,17.09,23.7,19.35,14.77,16.3,12.21,,6.53,4.43,4.16,5.71,5.0,,3.37,4.01,3.96
a_0,33.86,21.44,16.34,17.58,,,8.73,8.08,6.54,6.97,3.84,5.69,6.24,1.8,4.82,4.83
e_0,,25.67,31.09,25.04,22.62,,9.84,8.24,7.82,6.15,6.16,3.45,5.18,6.36,1.77,
g_0,18.78,23.44,20.92,22.4,22.32,14.94,6.47,,5.6,9.07,7.35,5.93,3.27,5.16,,
