,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.29,0.88,0.9,0.98,0.69,0.58,0.73,0.6,0.65,0.57,0.68,0.52,0.61,0.56,0.44
e_1,0.78,1.0,1.01,1.19,0.94,0.91,0.79,0.66,0.67,0.91,0.66,0.73,0.64,0.6,0.63,0.65
d_1,1.15,0.99,1.0,0.87,0.9,0.87,0.67,0.6,0.89,0.73,0.69,0.62,0.59,0.54,0.49,0.56
c_1,1.11,0.84,1.14,1.0,1.32,0.78,0.68,0.61,0.56,0.45,0.52,0.63,0.55,0.52,0.59,0.51
b_1,1.05,1.07,1.1,0.77,1.0,1.29,0.87,0.73,0.78,0.65,0.7,0.61,0.68,0.5,0.61,0.59
a_1,1.45,1.09,1.16,1.27,0.77,1.0,0.85,0.85,0.62,0.83,0.85,0.68,0.79,0.74,0.62,0.74
h_1,1.73,1.26,1.5,1.45,1.16,1.18,1.0,1.12,0.94,0.89,0.97,0.75,0.85,0.8,0.93,0.81
g_1,1.37,1.51,1.77,1.56,1.38,1.17,0.88,1.0,0.94,0.77,0.9,1.15,0.74,0.81,0.8,0.78
c_0,1.66,1.48,1.15,1.58,1.32,1.48,1.09,1.07,1.0,1.13,1.36,1.04,0.95,1.0,0.88,0.9
d_0,1.45,1.12,1.44,2.27,1.57,1.19,1.08,1.25,0.84,1.0,0.98,0.91,0.88,0.94,0.9,0.95
b_0,1.77,1.52,1.44,1.79,1.56,1.14,1.11,1.09,0.75,1.01,1.0,0.95,0.97,1.26,0.93,1.01
f_0,1.61,1.37,1.59,1.53,1.48,1.46,1.36,0.9,1.0,1.06,1.06,1.0,0.92,0.92,0.84,1.27
h_0,1.99,1.62,1.66,1.69,1.47,1.31,1.17,1.34,1.02,1.1,1.02,1.08,1.0,1.03,1.14,0.76
a_0,1.74,1.66,1.91,1.81,1.88,1.38,1.3,1.26,1.02,1.09,0.86,1.06,0.99,1.0,1.04,1.02
g_0,1.83,1.55,2.13,1.67,1.63,1.55,1.09,1.23,1.1,1.13,1.05,1.23,0.86,0.97,1.0,1.22
e_0,2.2,1.57,1.88,1.75,1.74,1.38,1.24,1.19,1.11,1.01,1.02,0.75,1.33,1.08,0.85,1.0
