,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.92,0.45,0.33,0.47,0.33,0.23,0.37,0.6,0.29,0.31,0.31,0.31,0.36,0.17,0.19,0.27
f_1,0.69,0.92,0.33,0.37,0.34,0.2,0.3,0.37,0.25,0.31,0.33,0.19,0.33,0.15,0.22,0.23
d_1,0.45,0.44,0.92,0.31,0.29,0.19,0.38,0.28,0.31,0.6,0.39,0.33,0.39,0.26,0.25,0.27
c_1,0.39,0.42,0.38,0.91,0.61,0.24,0.35,0.3,0.27,0.22,0.22,0.28,0.33,0.18,0.17,0.25
b_1,0.43,0.41,0.36,0.37,0.91,0.46,0.34,0.37,0.29,0.3,0.23,0.32,0.39,0.19,0.15,0.25
a_1,0.43,0.48,0.39,0.38,0.32,0.89,0.36,0.35,0.29,0.37,0.32,0.31,0.34,0.22,0.13,0.3
h_1,0.48,0.56,0.42,0.39,0.36,0.2,0.63,0.39,0.39,0.37,0.32,0.28,0.3,0.22,0.19,0.33
d_0,0.41,0.46,0.31,0.67,0.41,0.23,0.36,0.56,0.27,0.25,0.28,0.35,0.36,0.23,0.21,0.28
g_1,0.44,0.43,0.6,0.34,0.34,0.22,0.33,0.35,0.62,0.41,0.34,0.47,0.39,0.25,0.24,0.27
c_0,0.5,0.51,0.47,0.31,0.3,0.21,0.43,0.38,0.32,0.55,0.59,0.33,0.39,0.25,0.32,0.26
b_0,0.57,0.51,0.47,0.41,0.22,0.18,0.41,0.45,0.33,0.41,0.55,0.33,0.41,0.26,0.5,0.27
f_0,0.43,0.44,0.47,0.38,0.38,0.26,0.45,0.42,0.35,0.4,0.36,0.52,0.41,0.45,0.18,0.33
h_0,0.48,0.61,0.46,0.38,0.35,0.21,0.29,0.37,0.38,0.36,0.33,0.34,0.29,0.23,0.25,0.38
e_0,0.43,0.58,0.42,0.4,0.35,0.22,0.45,0.4,0.31,0.38,0.34,0.37,0.4,0.5,0.23,0.3
a_0,0.48,0.54,0.47,0.38,0.32,0.11,0.42,0.43,0.38,0.41,0.35,0.35,0.41,0.27,0.47,0.29
g_0,0.47,0.41,0.6,0.4,0.41,0.23,0.38,0.29,0.25,0.39,0.31,0.48,0.34,0.24,0.2,0.23
