,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.04,1.61,1.47,1.24,1.39,1.16,0.45,0.49,0.42,0.51,0.38,0.43,0.27,0.33,0.32,0.33
e_1,1.1,1.04,1.83,1.44,1.49,1.34,0.54,0.55,0.46,0.52,0.44,0.53,0.36,0.44,0.39,0.32
c_1,1.73,1.35,1.05,1.85,1.9,1.43,0.64,0.35,0.5,0.55,0.41,0.44,0.38,0.39,0.37,0.36
d_1,1.88,1.92,1.64,1.04,1.48,1.29,0.58,0.64,0.52,0.44,0.52,0.43,0.38,0.36,0.43,0.24
b_1,2.11,1.85,1.18,1.99,1.05,1.86,0.7,0.52,0.65,0.72,0.68,0.53,0.45,0.43,0.43,0.39
a_1,2.76,2.61,2.02,2.55,1.33,1.06,1.04,0.84,0.79,0.87,1.03,0.7,0.54,0.61,0.86,0.55
h_1,4.94,4.8,4.34,4.47,4.1,3.05,1.24,1.39,1.19,1.66,1.25,1.24,1.14,1.14,1.18,0.96
d_0,4.53,3.55,5.69,5.56,5.27,3.75,1.98,1.34,1.45,1.83,1.47,1.44,1.16,1.33,1.15,1.22
c_0,6.2,5.74,7.06,3.69,5.1,4.31,2.21,2.02,1.33,1.95,1.9,1.5,1.22,1.32,1.48,1.02
g_1,5.88,5.59,5.18,5.64,4.89,3.89,1.61,1.6,1.53,1.26,1.49,1.58,1.0,1.36,1.56,1.17
b_0,6.61,5.79,7.51,4.74,6.4,4.24,2.1,2.0,1.09,2.02,1.34,1.55,1.39,1.58,1.63,1.23
f_0,7.87,6.12,6.24,6.61,5.54,4.35,2.25,1.87,1.99,1.62,1.9,1.36,1.46,1.69,1.59,0.94
h_0,7.7,6.76,7.14,6.51,6.71,5.62,3.1,2.36,2.03,2.61,1.92,2.04,1.72,1.69,1.58,1.59
e_0,10.92,8.76,7.48,9.01,7.46,6.6,2.93,2.31,2.45,2.55,2.38,1.51,2.0,1.48,2.01,1.65
a_0,9.17,7.89,9.98,7.44,10.5,7.26,2.9,2.88,2.01,2.77,1.49,2.2,1.93,2.16,1.44,1.61
g_0,9.29,9.32,9.16,9.07,8.17,7.6,2.86,2.72,2.53,3.47,2.43,2.59,1.66,1.98,2.17,2.05
