,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.66,1.71,1.53,1.26,1.26,1.13,0.67,0.43,0.56,0.92,0.51,0.46,0.37,0.48,0.45,0.28
e_1,1.41,0.66,0.95,1.55,1.56,1.27,0.77,0.72,0.51,0.62,0.51,0.65,0.46,0.54,0.82,0.5
f_1,1.27,1.56,0.66,1.48,1.38,1.15,0.49,0.95,0.51,0.48,0.48,0.82,0.32,0.44,0.44,0.4
c_1,1.76,1.29,1.44,0.63,1.83,1.41,0.7,0.55,0.65,0.34,0.53,0.56,0.41,0.46,0.42,0.47
b_1,1.73,1.45,1.68,0.97,0.62,2.23,0.72,0.71,0.63,0.55,1.11,0.54,0.4,0.52,0.67,0.54
a_1,2.18,1.68,2.27,1.83,0.94,0.57,0.79,0.86,0.66,0.75,0.81,0.59,0.85,1.07,0.63,0.55
h_1,1.87,2.14,2.79,2.07,1.91,1.97,0.58,1.13,0.85,0.79,0.76,0.67,0.97,0.64,0.63,0.71
g_1,2.47,2.26,2.33,2.59,2.23,1.94,0.82,0.55,0.87,0.74,0.88,0.79,0.57,0.82,0.94,0.82
c_0,1.5,2.59,2.39,3.9,2.45,2.26,1.1,1.02,0.63,1.14,0.95,0.8,0.7,0.76,0.88,0.68
d_0,3.26,1.47,2.59,3.06,2.58,2.09,1.1,1.45,0.86,0.63,0.85,0.91,0.76,0.8,0.91,0.81
b_0,2.04,2.4,2.53,3.13,3.06,2.08,1.12,1.16,0.54,1.06,0.6,0.85,0.99,1.02,0.83,0.78
f_0,2.44,2.09,3.72,2.38,2.62,2.34,1.18,0.86,0.95,0.95,1.03,0.6,0.92,0.82,1.04,0.54
h_0,2.81,2.51,2.89,2.88,3.31,1.9,1.55,1.34,0.95,0.99,0.87,0.81,1.21,0.84,0.79,0.87
a_0,2.5,2.53,3.28,3.36,3.39,2.93,1.55,1.2,0.94,1.09,0.59,1.03,0.83,0.59,0.93,0.73
e_0,2.56,4.86,3.56,3.75,2.26,2.25,1.21,1.06,0.98,0.89,1.16,0.56,1.05,0.99,0.56,0.79
g_0,2.89,2.71,3.92,2.92,2.6,2.29,1.05,1.59,1.09,1.01,0.9,1.27,0.69,1.05,0.99,0.98
