,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,2.13,3.07,4.06,3.28,2.72,1.21,1.51,1.21,1.0,0.89,0.91,0.75,0.83,1.71,0.66
f_1,4.06,1.07,3.28,3.3,2.74,2.7,0.89,1.38,0.99,0.91,0.97,1.74,0.57,0.78,0.84,0.78
d_1,3.85,3.5,1.07,3.48,3.54,3.19,1.23,0.82,2.33,1.12,1.1,0.89,0.76,0.89,0.86,0.53
c_1,2.94,3.67,4.68,1.07,4.0,3.16,1.55,1.42,0.69,1.59,1.1,0.99,0.86,1.27,1.15,0.87
b_1,4.04,4.58,3.62,2.3,1.07,4.67,1.65,1.44,1.2,1.61,1.91,1.16,0.86,0.89,1.09,0.67
a_1,5.56,5.47,5.18,5.22,3.29,1.07,2.42,2.1,1.5,1.77,1.68,1.5,1.47,2.88,1.28,1.48
h_1,8.16,9.11,7.93,6.54,5.73,5.58,1.38,2.85,2.68,2.13,1.94,2.15,2.85,1.74,1.66,1.92
g_1,8.28,8.63,9.44,8.7,7.27,7.13,2.5,1.37,2.82,2.31,2.59,2.93,1.58,1.99,1.53,2.94
d_0,5.27,9.9,14.03,9.69,9.43,6.86,3.27,3.23,1.62,2.5,2.36,2.5,1.87,3.17,1.86,1.63
c_0,8.45,9.77,5.4,20.84,8.45,7.4,3.56,3.36,3.32,1.59,2.85,2.9,1.89,2.35,2.34,1.75
b_0,9.21,9.47,7.45,10.04,27.89,8.15,4.45,3.44,2.8,1.84,1.61,2.53,2.46,2.71,2.44,2.3
f_0,9.06,17.54,10.29,9.96,8.7,7.68,3.66,2.29,2.65,2.82,2.64,1.66,2.04,2.5,2.68,1.56
h_0,12.31,13.1,11.58,13.27,13.61,9.07,8.61,5.45,3.86,3.68,3.72,4.02,4.58,3.96,2.72,2.91
a_0,12.88,13.45,11.79,10.49,19.88,17.09,5.11,5.7,4.11,3.08,2.09,3.71,2.72,1.64,2.96,3.1
e_0,19.63,16.56,13.55,11.6,10.12,14.53,4.75,5.05,4.14,3.55,3.93,2.09,3.52,3.22,1.63,2.25
g_0,16.07,14.77,19.11,14.26,16.32,10.35,4.07,7.59,6.11,4.46,4.34,4.45,2.57,3.75,3.5,4.53
