,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,13770.83,10680.14,5963.35,12027.85,11547.38,43443.22,5973177.17,17246698.83,15031600.28,26289801.03,36043858.27,45894864.57,154080315.02,150498269.37,186121794.93,364302647.34
e_1,6765.82,14564.04,6191.36,13560.53,11663.61,46334.8,6034073.19,18628811.29,16352364.99,38713279.66,40064732.61,65909601.93,153178366.2,187322291.27,192734554.06,398165985.62
d_1,6475.5,6384.75,16315.28,8612.1,11637.57,54268.97,5734151.71,34944599.39,18581124.23,18866785.4,52755805.1,76036893.7,168209011.33,202133769.97,278217875.23,420744072.93
c_1,5808.57,5252.31,6935.36,29426.35,22866.79,45017.37,5346728.53,11687277.11,17564682.28,19274079.09,27450941.42,63294936.92,153034628.37,166831255.13,262971482.68,406691422.27
b_1,5902.42,5667.8,7298.92,10565.48,32371.96,94387.95,6233787.47,19026263.96,15703389.11,22167700.74,26302099.53,63081708.71,152444504.03,131439395.72,225501787.71,394126955.15
a_1,6974.24,6544.82,7160.05,12586.95,11268.71,170268.13,7245472.06,20316360.04,17073363.14,26635487.38,39710901.99,70253060.47,163908011.03,128284697.1,227114348.43,403552948.36
h_1,8946.38,6917.16,7884.35,12554.21,12036.86,47379.14,10377958.29,20878764.33,21256122.36,22229471.62,45831670.85,65661445.6,135794049.09,210253518.55,241647952.55,517219410.02
c_0,7947.33,7130.02,8152.25,10684.82,11567.39,43181.22,6094040.01,31688535.6,22505870.6,27015231.58,78478580.22,76659232.25,186419416.73,268953244.4,322013585.93,424217085.69
g_1,5502.53,5857.92,11201.51,12627.61,13441.06,48447.43,5828491.82,24876008.27,36747643.99,21295251.26,41871286.89,106420234.91,167094688.89,179379677.45,283221793.85,353436713.02
d_0,6772.09,6692.3,6278.68,20655.6,14617.37,40570.15,6634642.04,16962635.78,17953143.89,33464218.83,42637751.23,58214039.84,176503042.4,209842783.48,251752705.64,390349611.74
b_0,7554.73,7592.66,7974.12,13247.24,11261.02,36626.14,6952350.96,23712820.01,20744417.79,25477803.68,69479582.69,74914167.51,181160444.42,382799757.51,302365034.68,422575758.07
f_0,5666.1,5828.39,8091.25,13537.33,15061.43,50200.46,6847890.34,25214666.8,19632969.21,23376378.08,47904179.72,118017851.49,188209381.4,270680710.89,542104214.78,417003621.85
h_0,8391.1,7256.26,8136.28,12884.16,12946.58,42262.38,5137171.95,22795744.98,22475590.69,24303391.64,38855642.13,67147334.2,122944299.2,172918373.55,303763154.72,508115889.88
a_0,7256.49,6607.26,7598.53,14917.8,14772.89,37046.31,6496272.31,21742089.85,19320465.16,24993548.81,50291542.63,72464236.78,168959444.67,352018264.41,354376037.62,395185290.28
e_0,7090.24,5219.71,8647.99,13444.23,13857.05,47212.59,6726001.52,23793230.41,23179157.64,23844837.08,49331073.68,81130496.74,199206676.79,215960890.63,561863181.32,469924686.28
g_0,6087.06,5946.93,10635.44,12580.61,12392.14,46679.62,6482662.73,22493779.19,17127224.72,22220018.74,49046334.44,112843969.14,170976407.73,218731887.59,355782749.29,344549522.95
