,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.33,2.95,3.28,2.94,3.2,0.95,1.03,0.93,0.97,0.86,1.7,0.53,0.64,0.74,0.67
e_1,2.17,1.07,3.55,3.43,2.47,2.48,1.38,1.4,0.98,1.1,1.01,1.17,0.78,1.1,0.79,1.46
d_1,3.73,3.69,1.07,3.28,2.75,2.38,1.4,0.94,1.19,2.57,0.96,0.96,0.77,0.89,0.5,0.97
c_1,3.4,3.28,4.19,1.07,4.06,3.38,1.45,1.26,1.83,0.65,1.04,1.11,0.89,1.04,0.73,0.93
b_1,4.8,5.47,4.75,2.45,1.07,4.2,1.4,1.75,1.31,1.23,2.74,1.17,1.1,1.19,1.32,0.92
a_1,6.46,6.87,5.27,5.92,3.05,1.07,2.15,1.63,1.49,1.54,2.22,1.54,1.46,5.24,1.0,1.51
h_1,8.02,6.48,6.52,7.44,7.8,5.83,1.38,2.8,1.74,2.26,1.81,2.01,2.8,1.59,1.82,1.85
g_1,9.31,8.73,8.55,8.6,7.31,8.88,2.55,1.39,2.5,2.81,2.59,2.28,1.8,2.21,2.42,2.42
c_0,8.79,10.33,5.24,16.14,12.03,9.29,3.7,3.55,1.61,2.61,3.04,2.28,2.04,2.37,1.9,2.3
d_0,9.57,5.01,14.1,11.2,9.54,8.16,3.62,4.23,3.49,1.65,2.51,2.27,1.94,1.97,2.06,2.16
b_0,11.16,8.38,8.6,11.44,20.22,6.29,3.39,3.17,1.68,3.18,1.59,2.38,1.95,3.79,1.98,2.15
f_0,24.23,8.79,9.28,8.75,11.32,8.11,3.9,3.09,2.8,2.79,3.21,1.6,2.23,2.45,1.55,2.67
h_0,15.35,11.91,11.33,11.89,10.89,8.71,6.4,5.12,3.62,4.17,3.75,3.3,5.01,2.98,3.08,2.55
a_0,16.51,10.25,12.08,12.29,15.04,,5.9,4.42,4.19,4.52,1.92,3.21,2.74,1.64,2.69,2.95
g_0,17.63,14.51,15.71,15.64,12.52,10.41,4.18,9.14,3.48,3.87,3.43,4.81,2.21,3.44,4.62,3.11
e_0,18.93,23.72,14.1,13.5,15.38,11.33,5.31,4.01,3.56,4.14,4.32,1.94,3.12,2.78,3.72,1.65
