,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.94,0.82,1.19,1.04,0.93,1.08,1.29,1.05,0.97,1.05,1.11,1.03,1.03,1.09,1.09
d_1,1.08,1.0,1.08,0.94,0.95,0.84,0.95,1.05,0.85,1.22,1.09,1.03,0.99,1.0,0.98,0.86
f_1,1.18,0.92,1.0,1.0,0.97,0.93,0.81,0.98,1.01,0.89,0.96,0.94,0.94,1.01,0.85,1.0
c_1,0.85,1.05,1.03,1.0,1.33,1.0,1.04,0.77,1.01,0.88,0.79,0.99,0.95,0.94,1.02,1.03
b_1,0.95,1.05,1.04,0.76,1.0,1.52,1.06,0.89,1.03,1.12,0.99,0.93,1.06,0.81,1.02,1.06
a_1,1.07,1.16,1.09,0.97,0.67,1.0,1.11,1.06,1.12,1.04,1.22,1.01,1.07,1.11,1.0,1.13
h_1,0.95,1.02,1.24,0.96,0.95,0.87,1.0,0.89,1.11,0.94,0.93,0.89,0.96,0.99,0.92,1.03
d_0,0.79,0.95,0.94,1.34,1.12,1.03,1.15,1.0,1.1,0.79,0.99,0.91,1.06,1.03,0.95,1.04
g_1,0.94,1.15,0.96,0.99,0.95,0.92,0.91,0.88,1.0,0.98,0.96,1.18,0.85,0.91,1.06,1.05
c_0,1.02,0.83,1.09,1.15,0.89,0.92,1.07,1.3,1.01,1.0,1.34,1.01,1.14,1.14,0.99,0.94
b_0,1.0,0.88,1.04,1.23,1.0,0.84,1.06,1.04,1.1,0.77,1.0,1.06,1.13,1.42,0.95,0.92
f_0,0.95,0.99,1.05,1.04,1.03,1.01,1.08,1.17,0.84,1.0,0.95,1.0,0.96,1.13,1.52,0.93
h_0,0.98,1.02,1.02,1.05,0.93,0.89,1.03,0.93,1.14,0.89,0.88,1.01,1.0,0.9,0.86,1.1
a_0,0.97,1.03,0.96,1.11,1.14,0.87,0.99,1.0,1.16,0.85,0.73,0.92,1.12,1.0,0.98,0.94
e_0,0.94,1.01,1.17,0.98,0.98,0.93,1.19,1.03,0.97,0.94,1.13,0.71,1.09,1.03,1.0,0.97
g_0,0.93,1.15,0.97,1.01,0.92,0.89,0.95,0.97,0.96,1.11,1.06,1.13,0.88,1.09,1.03,1.01
