,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,1.16,0.64,0.69,0.56,0.65,0.73,0.75,0.74,0.81,0.81,0.48,0.82,0.67,0.91,0.52
e_1,0.76,1.53,0.64,0.92,0.66,0.51,0.93,0.91,0.83,1.45,0.83,1.0,0.99,0.85,0.9,0.58
d_1,0.84,0.76,1.54,0.66,0.73,0.49,0.9,1.43,0.67,0.53,0.91,0.85,0.92,0.7,0.78,0.83
c_1,0.76,0.63,0.82,1.55,1.14,0.58,0.9,0.52,0.7,0.72,0.63,0.75,0.94,0.66,0.91,0.68
b_1,0.82,0.74,0.83,0.71,1.62,1.04,0.95,0.88,0.69,0.87,0.65,0.86,0.96,0.74,0.81,0.71
a_1,0.76,0.87,0.95,0.85,0.62,1.79,0.96,1.01,1.03,0.96,1.01,0.96,1.14,0.63,1.02,0.78
h_1,1.34,0.87,1.1,0.89,0.82,0.73,1.75,1.06,1.26,1.22,1.22,0.99,0.94,0.84,1.5,0.87
c_0,1.27,0.95,0.87,0.93,0.74,0.83,1.3,1.66,1.34,1.46,2.0,1.29,1.35,1.21,1.17,1.08
g_1,1.01,0.94,1.37,1.05,0.97,0.66,1.1,1.11,1.85,1.03,1.04,1.44,0.98,1.08,0.79,1.02
d_0,1.08,0.76,0.89,1.73,0.94,0.73,1.15,0.89,1.16,1.64,1.2,1.1,1.26,1.13,1.39,1.05
b_0,1.27,1.01,1.09,1.21,0.63,0.69,1.1,1.0,1.16,1.28,1.75,1.19,1.4,2.0,1.33,0.95
f_0,0.99,0.76,1.19,1.18,1.0,0.82,1.39,1.25,1.06,1.23,1.07,1.73,1.22,1.14,1.04,1.99
h_0,1.52,1.02,1.07,1.05,0.88,0.72,1.01,1.21,1.64,1.15,1.14,1.12,1.08,1.03,1.39,0.84
a_0,1.21,1.01,1.34,1.17,1.12,0.54,1.45,1.22,1.03,1.35,0.98,1.22,1.47,1.74,1.24,1.25
g_0,1.06,0.99,1.52,1.15,0.99,0.67,1.13,1.34,1.16,1.18,1.22,1.78,1.27,0.99,1.07,1.27
e_0,1.42,0.93,1.18,1.29,1.1,0.83,1.26,1.39,0.97,1.24,1.16,1.03,1.56,1.03,1.29,1.79
