,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.42,0.35,0.46,0.33,0.25,0.37,0.27,0.63,0.31,0.3,0.31,0.39,0.23,0.17,0.29
f_1,0.67,0.92,0.36,0.36,0.32,0.18,0.3,0.27,0.37,0.32,0.3,0.22,0.34,0.21,0.16,0.27
d_1,0.41,0.49,0.92,0.29,0.29,0.24,0.4,0.35,0.26,0.6,0.37,0.29,0.36,0.26,0.21,0.3
c_1,0.38,0.38,0.37,0.92,0.63,0.26,0.31,0.29,0.35,0.22,0.21,0.25,0.34,0.2,0.2,0.25
b_1,0.4,0.4,0.4,0.37,0.91,0.44,0.37,0.29,0.33,0.34,0.22,0.26,0.36,0.18,0.22,0.28
a_1,0.4,0.47,0.43,0.39,0.35,0.89,0.4,0.33,0.31,0.38,0.33,0.34,0.35,0.14,0.21,0.26
h_1,0.45,0.59,0.42,0.4,0.33,0.23,0.64,0.39,0.34,0.33,0.31,0.29,0.33,0.22,0.25,0.42
g_1,0.37,0.42,0.63,0.37,0.32,0.28,0.37,0.64,0.3,0.41,0.36,0.43,0.35,0.22,0.25,0.23
d_0,0.4,0.46,0.32,0.69,0.42,0.25,0.36,0.28,0.55,0.25,0.29,0.29,0.38,0.23,0.26,0.27
c_0,0.5,0.5,0.4,0.39,0.27,0.25,0.43,0.33,0.42,0.55,0.61,0.34,0.38,0.31,0.25,0.32
b_0,0.49,0.54,0.42,0.42,0.3,0.19,0.4,0.33,0.4,0.38,0.55,0.33,0.43,0.47,0.25,0.3
f_0,0.39,0.38,0.47,0.44,0.4,0.28,0.41,0.37,0.38,0.35,0.37,0.51,0.39,0.22,0.47,0.33
h_0,0.43,0.6,0.42,0.39,0.34,0.29,0.3,0.4,0.35,0.34,0.32,0.28,0.32,0.24,0.24,0.35
a_0,0.44,0.51,0.48,0.45,0.35,0.18,0.43,0.34,0.38,0.39,0.31,0.26,0.37,0.46,0.23,0.27
e_0,0.37,0.47,0.5,0.41,0.43,0.22,0.45,0.44,0.35,0.37,0.35,0.29,0.4,0.24,0.45,0.38
g_0,0.43,0.45,0.6,0.34,0.37,0.27,0.38,0.27,0.29,0.39,0.32,0.42,0.37,0.23,0.27,0.24
