,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.15,1.14,1.11,1.68,2.83,19.44,26.75,25.44,37.08,41.39,43.13,63.99,81.3,84.09,74.22
e_1,0.9,1.0,0.87,1.27,1.74,3.04,20.07,34.29,31.44,27.11,41.47,39.33,67.41,75.02,88.41,85.74
f_1,0.87,1.14,1.0,1.12,1.54,2.61,15.64,25.5,29.57,24.66,34.18,33.96,51.72,70.07,60.0,73.82
c_1,0.91,0.78,0.9,1.0,1.8,2.51,16.77,17.28,23.88,21.64,30.53,27.48,55.16,62.79,67.4,81.0
b_1,0.61,0.58,0.65,0.56,1.0,2.26,13.05,13.93,16.79,20.36,22.4,28.53,37.56,44.38,50.2,54.9
a_1,0.34,0.32,0.38,0.4,0.44,1.0,7.6,9.57,11.64,11.13,14.01,16.06,24.45,29.72,33.14,28.83
h_1,0.05,0.05,0.06,0.06,0.07,0.13,1.0,1.33,1.76,1.34,1.89,1.98,3.27,4.13,3.98,4.74
d_0,0.04,0.03,0.04,0.06,0.07,0.1,0.76,1.0,1.1,0.93,1.43,1.39,2.43,2.72,3.31,3.45
g_1,0.04,0.03,0.04,0.04,0.06,0.09,0.59,0.94,1.0,1.03,1.52,1.38,2.03,3.05,3.29,3.04
c_0,0.03,0.04,0.04,0.05,0.05,0.09,0.74,1.1,0.96,1.0,1.39,1.94,2.38,3.17,3.15,3.18
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.5,0.68,0.66,0.73,1.0,0.99,1.67,1.92,2.94,1.83
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.5,0.74,0.71,0.54,1.0,1.0,1.65,2.88,2.45,2.19
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.31,0.42,0.48,0.42,0.59,0.58,1.0,1.19,1.26,1.44
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.25,0.36,0.34,0.35,0.49,0.35,0.82,1.0,1.11,1.09
e_0,0.01,0.01,0.02,0.01,0.02,0.03,0.25,0.3,0.31,0.34,0.34,0.45,0.77,0.93,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.29,0.34,0.33,0.55,0.48,0.67,0.93,0.99,1.0
