,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.41,1.14,1.48,1.65,3.06,16.58,32.71,31.83,28.69,38.07,42.94,69.42,80.51,102.51,189.16
e_1,0.73,1.0,1.16,1.7,1.65,3.7,20.03,33.93,42.97,28.3,43.08,60.94,89.59,81.98,133.19,177.11
d_1,0.86,0.85,1.0,1.0,1.45,2.8,16.37,23.24,27.66,33.8,33.85,44.6,67.59,76.04,113.31,126.1
c_1,0.67,0.58,1.01,1.0,1.72,2.39,14.74,23.12,16.59,20.73,22.99,37.39,54.07,58.55,88.43,114.98
b_1,0.61,0.61,0.69,0.58,1.0,3.6,12.21,17.9,17.86,19.94,23.07,29.52,48.44,42.16,87.57,98.24
a_1,0.32,0.27,0.35,0.42,0.29,1.0,5.53,8.87,9.32,9.22,13.31,13.99,28.52,22.21,39.58,40.37
h_1,0.06,0.05,0.06,0.07,0.08,0.17,1.0,1.69,1.63,1.57,1.96,2.41,4.27,3.74,5.99,10.44
g_1,0.03,0.03,0.04,0.04,0.06,0.11,0.59,1.0,0.84,1.04,1.36,1.95,2.42,2.64,4.07,5.33
d_0,0.03,0.02,0.04,0.06,0.05,0.11,0.61,1.22,1.0,0.76,1.28,1.59,2.82,2.61,4.27,5.95
c_0,0.03,0.03,0.03,0.05,0.05,0.11,0.62,0.95,1.3,1.0,1.63,1.54,2.69,2.86,4.12,5.41
b_0,0.03,0.02,0.03,0.04,0.04,0.07,0.51,0.72,0.71,0.61,1.0,1.14,2.19,2.75,3.46,4.37
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.43,0.49,0.63,0.66,0.85,1.0,1.63,1.71,3.48,2.79
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.41,0.35,0.38,0.44,0.6,0.99,0.92,1.65,2.38
a_0,0.01,0.01,0.01,0.02,0.02,0.05,0.27,0.37,0.37,0.35,0.36,0.6,1.05,1.0,1.68,2.35
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.25,0.23,0.24,0.29,0.28,0.59,0.61,1.0,1.27
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.1,0.19,0.16,0.19,0.23,0.36,0.41,0.41,0.79,1.0
