,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,15.88,0.6,0.74,0.41,0.52,0.48,0.74,2.08,0.86,0.77,1.07,1.12,1.1,1.02,0.55,1.01
f_1,1.28,16.9,0.54,0.42,0.47,0.55,0.75,0.94,0.89,0.7,0.89,0.35,0.89,0.93,0.56,0.78
c_1,0.5,0.52,16.93,0.59,1.28,0.43,0.86,0.75,0.31,0.98,0.7,0.87,0.83,0.81,1.08,0.82
d_1,0.44,0.79,0.41,19.6,0.53,0.51,1.05,0.36,2.11,1.03,0.96,0.98,0.88,0.94,0.83,0.87
b_1,0.53,0.48,0.59,0.6,18.71,1.36,1.03,0.96,0.81,0.68,0.36,0.85,0.7,0.79,0.8,1.05
a_1,0.49,0.63,0.56,0.7,0.51,29.86,0.99,0.63,0.92,0.8,0.92,1.14,0.44,1.26,1.29,1.05
h_1,0.62,0.96,0.56,1.06,0.65,0.8,4.78,0.9,1.13,1.72,1.22,1.05,1.06,0.75,1.37,1.96
d_0,0.68,0.7,2.2,0.35,0.69,0.66,0.9,2.79,0.8,0.97,1.26,1.09,1.24,1.41,1.34,0.98
c_0,0.66,0.77,0.44,0.92,0.6,0.81,1.16,1.15,2.88,1.32,3.34,1.45,1.48,1.32,1.47,1.44
g_1,0.57,0.59,0.69,1.7,0.63,0.59,1.15,0.81,1.29,6.32,1.3,2.17,1.12,1.32,1.28,0.7
b_0,0.7,0.73,0.68,1.03,0.36,0.83,1.22,1.04,1.13,1.52,3.46,1.12,3.59,1.17,1.38,1.36
f_0,0.52,0.37,0.8,0.93,0.74,0.64,1.3,1.38,1.46,1.12,1.93,4.3,1.41,1.26,3.77,1.28
a_0,0.83,0.82,0.96,0.68,0.68,0.24,1.3,1.45,1.34,1.51,1.36,1.31,4.47,1.37,1.22,1.44
h_0,0.63,1.12,0.86,0.86,0.54,0.82,0.58,1.09,0.94,1.62,1.49,1.27,1.08,0.85,1.33,1.67
e_0,0.28,0.68,1.18,0.93,0.96,0.84,1.02,1.3,0.88,1.22,1.27,1.31,1.34,1.92,5.24,1.32
g_0,0.59,0.53,0.69,1.74,0.63,0.74,1.16,0.98,1.31,0.73,1.4,1.79,1.09,1.46,1.24,0.8
