,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.77,0.77,0.39,0.35,0.37,0.35,0.72,0.64,0.7,0.71,0.72,0.18,0.99,0.83,0.74,0.49
e_1,0.41,3.96,0.37,0.44,0.38,0.41,0.74,0.57,0.83,1.65,0.65,0.88,0.96,0.77,1.0,0.27
d_1,0.51,0.35,4.0,0.32,0.37,0.31,0.74,1.01,1.5,0.2,0.98,0.69,0.89,0.86,0.88,0.81
c_1,0.42,0.36,0.46,4.51,0.72,0.29,0.68,0.54,0.15,0.79,0.65,0.92,0.52,0.58,0.94,0.82
b_1,0.34,0.41,0.4,0.44,4.81,0.65,0.84,0.58,0.8,0.67,0.22,0.78,1.04,0.63,0.71,0.84
a_1,0.46,0.37,0.38,0.36,0.37,6.89,0.76,0.65,0.69,0.71,1.01,1.04,1.1,0.23,0.92,0.98
h_1,0.93,0.54,0.82,0.65,0.52,0.65,5.18,1.59,1.46,1.46,1.55,1.11,0.61,1.27,2.15,1.58
g_1,0.53,0.61,1.03,0.77,0.54,0.56,1.13,6.14,1.55,1.2,1.55,2.15,1.43,1.36,0.78,1.27
c_0,0.73,0.63,0.73,0.33,0.66,0.92,1.34,1.38,3.85,1.53,3.09,1.82,1.5,1.94,1.64,1.41
d_0,0.71,0.65,0.21,1.39,0.67,0.7,1.15,1.57,1.05,3.61,1.34,1.55,1.45,1.17,1.4,1.65
b_0,0.78,0.6,0.69,0.84,0.26,0.72,1.33,1.83,1.51,1.53,4.44,1.75,1.39,3.18,1.71,2.26
f_0,0.19,0.59,0.73,0.79,0.78,0.96,1.7,1.16,1.36,1.67,1.8,4.46,1.65,1.77,1.48,3.91
h_0,0.91,0.58,0.72,0.61,0.68,0.67,0.5,2.07,1.47,1.38,1.44,1.69,0.6,2.0,2.02,1.19
a_0,0.65,0.71,0.9,0.66,0.73,0.23,1.54,1.99,1.4,1.21,1.73,1.88,1.75,6.51,1.52,1.2
g_0,0.6,0.58,1.03,0.71,0.59,0.88,1.46,0.72,1.28,1.39,1.36,2.08,1.44,1.5,0.51,2.2
e_0,0.7,0.17,0.79,0.97,0.65,0.71,1.68,1.43,1.35,1.67,1.58,1.86,1.94,1.77,0.91,6.76
