,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.92,0.45,0.35,0.45,0.33,0.23,0.37,0.35,0.35,0.56,0.29,0.31,0.25,0.36,0.18,0.28
f_1,0.7,0.92,0.36,0.37,0.29,0.22,0.36,0.28,0.32,0.38,0.19,0.3,0.24,0.32,0.16,0.24
d_1,0.42,0.43,0.93,0.29,0.31,0.26,0.4,0.34,0.62,0.24,0.34,0.39,0.25,0.33,0.25,0.34
c_1,0.38,0.38,0.4,0.91,0.59,0.24,0.39,0.31,0.2,0.31,0.3,0.2,0.23,0.32,0.24,0.25
b_1,0.4,0.42,0.4,0.37,0.9,0.44,0.35,0.33,0.33,0.3,0.32,0.2,0.17,0.34,0.21,0.27
a_1,0.48,0.43,0.43,0.36,0.3,0.89,0.42,0.35,0.36,0.37,0.31,0.33,0.19,0.42,0.26,0.31
h_1,0.44,0.57,0.43,0.39,0.35,0.25,0.66,0.43,0.34,0.33,0.28,0.35,0.24,0.29,0.24,0.36
g_1,0.44,0.42,0.6,0.38,0.37,0.23,0.37,0.63,0.37,0.3,0.43,0.28,0.23,0.38,0.24,0.26
c_0,0.48,0.49,0.49,0.33,0.29,0.26,0.43,0.36,0.56,0.36,0.35,0.61,0.33,0.4,0.29,0.36
d_0,0.44,0.48,0.34,0.64,0.4,0.21,0.38,0.34,0.28,0.53,0.29,0.29,0.26,0.39,0.26,0.29
f_0,0.4,0.39,0.48,0.43,0.34,0.26,0.4,0.34,0.41,0.43,0.56,0.36,0.3,0.36,0.51,0.38
b_0,0.46,0.54,0.47,0.43,0.28,0.19,0.42,0.36,0.39,0.41,0.36,0.54,0.52,0.39,0.25,0.38
a_0,0.48,0.51,0.46,0.4,0.33,0.2,0.45,0.38,0.39,0.36,0.36,0.33,0.52,0.38,0.22,0.35
h_0,0.48,0.61,0.46,0.37,0.33,0.25,0.3,0.42,0.37,0.34,0.3,0.29,0.25,0.31,0.21,0.38
e_0,0.42,0.53,0.45,0.36,0.4,0.21,0.44,0.33,0.4,0.38,0.38,0.39,0.32,0.36,0.47,0.33
g_0,0.44,0.4,0.64,0.38,0.32,0.22,0.37,0.28,0.39,0.33,0.48,0.35,0.29,0.35,0.29,0.27
