,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.89,0.2,0.2,0.15,0.18,0.09,0.18,0.14,0.35,0.12,0.16,0.11,0.1,0.17,0.05,0.13
f_1,0.33,0.89,0.19,0.17,0.15,0.08,0.15,0.12,0.15,0.12,0.06,0.13,0.1,0.15,0.06,0.11
c_1,0.22,0.18,0.88,0.14,0.28,0.09,0.18,0.13,0.15,0.06,0.14,0.11,0.11,0.16,0.09,0.11
d_1,0.21,0.2,0.14,0.89,0.14,0.1,0.17,0.16,0.07,0.27,0.15,0.18,0.14,0.15,0.1,0.13
b_1,0.16,0.19,0.19,0.19,0.88,0.19,0.16,0.12,0.19,0.14,0.14,0.07,0.08,0.14,0.1,0.14
a_1,0.17,0.23,0.2,0.18,0.17,0.87,0.19,0.13,0.17,0.15,0.13,0.12,0.04,0.15,0.13,0.09
h_1,0.25,0.33,0.2,0.2,0.17,0.11,0.56,0.23,0.21,0.14,0.14,0.16,0.12,0.1,0.11,0.18
g_1,0.22,0.19,0.22,0.36,0.17,0.11,0.2,0.55,0.15,0.19,0.24,0.17,0.12,0.18,0.12,0.08
d_0,0.22,0.27,0.44,0.1,0.18,0.11,0.21,0.15,0.41,0.12,0.15,0.14,0.12,0.17,0.08,0.16
c_0,0.26,0.29,0.14,0.22,0.17,0.11,0.23,0.2,0.2,0.41,0.18,0.37,0.16,0.19,0.12,0.16
f_0,0.26,0.16,0.25,0.2,0.19,0.12,0.24,0.18,0.24,0.17,0.41,0.21,0.19,0.21,0.26,0.15
b_0,0.26,0.25,0.24,0.26,0.07,0.07,0.22,0.25,0.18,0.21,0.16,0.44,0.27,0.18,0.12,0.14
a_0,0.26,0.27,0.22,0.21,0.19,0.07,0.23,0.21,0.18,0.18,0.23,0.16,0.4,0.2,0.13,0.14
h_0,0.23,0.38,0.22,0.24,0.17,0.1,0.12,0.21,0.23,0.19,0.13,0.14,0.17,0.11,0.11,0.19
e_0,0.11,0.3,0.22,0.27,0.22,0.13,0.24,0.17,0.19,0.21,0.16,0.16,0.1,0.21,0.38,0.15
g_0,0.21,0.24,0.25,0.35,0.16,0.11,0.22,0.09,0.17,0.15,0.26,0.17,0.14,0.17,0.14,0.1
