,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.11,1.02,0.97,0.97,0.87,0.37,0.4,0.47,0.38,0.36,0.43,0.23,0.35,0.37,0.34
e_1,0.77,0.65,1.17,1.04,1.16,1.09,0.51,0.5,0.52,0.4,0.39,0.48,0.32,0.36,0.52,0.33
c_1,1.18,0.92,0.64,1.22,1.25,0.95,0.49,0.26,0.45,0.44,0.36,0.35,0.35,0.36,0.3,0.31
d_1,1.29,1.22,1.11,0.63,1.0,0.95,0.47,0.51,0.37,0.45,0.43,0.37,0.31,0.41,0.32,0.23
b_1,1.29,1.24,0.76,1.32,0.62,1.39,0.59,0.46,0.48,0.51,0.54,0.4,0.4,0.38,0.37,0.32
a_1,1.76,1.29,1.45,1.29,0.8,0.57,0.72,0.53,0.68,0.58,0.64,0.57,0.43,0.6,0.46,0.42
h_1,1.85,1.67,1.78,1.71,1.53,1.36,0.56,0.69,0.8,0.59,0.64,0.55,0.55,0.62,0.6,0.52
d_0,1.83,1.21,2.39,2.21,2.05,1.76,0.89,0.59,0.99,0.64,0.68,0.68,0.66,0.66,0.76,0.57
g_1,2.14,1.89,2.16,1.95,1.88,1.53,0.74,0.66,0.52,0.69,0.7,0.7,0.44,0.68,0.57,0.64
c_0,1.98,2.01,2.78,1.29,1.93,1.82,0.89,0.91,0.88,0.56,0.9,0.8,0.71,0.73,0.68,0.63
b_0,2.06,1.94,2.44,1.64,2.45,1.65,0.9,0.74,0.83,0.43,0.56,0.73,0.61,1.02,0.69,0.6
f_0,2.49,1.86,2.2,2.24,2.05,1.81,1.07,0.82,0.63,0.77,0.71,0.54,0.68,0.85,0.91,0.41
h_0,2.77,2.21,2.11,2.02,2.0,1.95,1.2,0.76,0.97,0.72,0.78,0.65,0.78,0.68,0.69,0.69
a_0,2.28,2.38,2.42,2.24,2.63,2.57,0.97,0.81,0.89,0.68,0.46,0.66,0.7,0.53,0.72,0.68
e_0,2.82,2.38,3.05,2.48,2.38,1.8,1.04,0.76,0.93,0.77,0.81,0.44,0.69,0.81,0.54,0.53
g_0,2.33,2.33,2.49,2.6,2.24,2.27,0.89,0.9,1.17,0.88,0.88,1.03,0.61,0.81,0.91,0.78
