,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.72,0.91,1.15,1.02,0.96,0.76,0.87,0.79,0.7,0.61,0.71,0.58,0.67,0.63,0.65
f_1,1.4,1.0,0.91,0.96,0.91,0.71,0.54,0.66,0.6,0.56,0.58,0.56,0.51,0.5,0.59,0.38
d_1,1.09,1.1,1.0,0.91,0.89,0.84,0.74,0.8,0.51,0.87,0.8,0.62,0.63,0.56,0.46,0.5
c_1,0.87,1.05,1.11,1.0,1.31,0.81,0.76,0.48,0.67,0.5,0.52,0.53,0.57,0.55,0.58,0.57
b_1,0.98,1.1,1.11,0.77,1.0,1.24,0.79,0.71,0.7,0.7,0.6,0.71,0.6,0.56,0.58,0.73
a_1,1.04,1.42,1.19,1.24,0.8,1.0,0.82,0.79,0.94,0.76,1.0,0.81,0.77,0.87,0.62,0.66
h_1,1.29,1.84,1.37,1.31,1.29,1.16,1.0,1.03,1.14,0.92,0.72,0.82,0.84,0.79,1.22,0.88
d_0,1.17,1.44,1.3,2.05,1.45,1.26,0.98,1.0,0.98,0.79,0.97,0.94,1.01,0.79,0.9,0.84
g_1,1.32,1.53,1.94,1.52,1.42,1.14,0.89,0.99,1.0,0.9,0.93,1.17,0.81,0.87,0.9,0.98
c_0,1.43,1.67,1.15,2.01,1.45,1.28,1.09,1.25,1.1,1.0,1.52,1.01,1.05,0.97,0.88,0.91
b_0,1.66,1.73,1.34,1.89,1.56,0.97,1.36,1.0,1.08,0.67,1.0,1.1,1.08,1.33,0.88,0.76
f_0,1.41,1.75,1.63,1.89,1.44,1.29,1.21,1.12,0.84,1.01,0.91,1.0,0.98,0.86,0.82,1.31
h_0,1.69,1.98,1.59,1.66,1.7,1.27,1.23,1.03,1.25,0.95,0.94,0.96,1.0,0.85,1.06,0.92
a_0,1.56,1.88,1.82,1.89,1.81,1.19,1.25,1.27,1.15,1.03,0.73,1.08,1.22,1.0,1.28,0.98
g_0,1.63,1.78,2.14,1.7,1.87,1.48,0.84,1.13,1.17,1.2,1.09,1.23,0.96,0.85,1.0,1.13
e_0,1.68,2.77,1.91,1.67,1.48,1.31,1.2,1.13,1.15,1.14,1.27,0.73,1.07,1.0,0.96,1.0
