,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.08,2.19,2.49,2.24,2.31,2.03,0.55,0.5,0.65,0.47,0.49,0.57,0.27,0.45,0.37,0.42
e_1,1.55,1.09,2.38,2.56,2.56,2.3,0.77,0.54,0.73,0.5,0.46,0.59,0.36,0.48,0.37,0.7
d_1,2.81,2.93,1.08,2.42,2.45,2.29,0.71,0.73,0.46,0.49,0.45,0.45,0.33,0.44,0.24,0.45
c_1,2.63,2.11,3.45,1.1,2.24,2.35,0.78,0.34,0.83,0.7,0.58,0.52,0.41,0.51,0.35,0.6
b_1,3.38,3.08,3.28,1.83,1.11,3.15,0.94,0.62,0.93,0.99,1.03,0.53,0.41,0.59,0.47,0.64
a_1,5.86,4.95,4.53,4.05,2.53,1.13,1.35,1.22,1.35,1.2,1.3,1.0,0.81,1.19,0.6,0.97
h_1,9.68,7.89,8.63,8.55,8.24,5.84,1.44,1.66,2.41,1.63,1.51,1.5,1.55,1.41,1.27,1.4
d_0,10.34,7.24,17.25,13.73,12.26,10.1,3.88,1.87,4.46,2.42,2.34,2.5,1.95,2.27,2.01,3.23
g_1,13.32,11.85,12.66,11.0,12.2,9.84,2.73,2.78,1.6,2.68,2.44,2.09,1.34,2.11,1.96,2.22
c_0,14.54,12.01,7.61,17.27,12.76,9.79,3.8,3.44,3.1,1.74,2.21,2.3,2.09,2.45,1.66,2.51
b_0,14.77,13.75,11.82,19.36,18.22,10.87,4.11,3.32,3.84,1.73,1.82,2.71,2.14,2.68,1.9,2.19
f_0,20.85,13.86,14.45,14.54,15.92,13.35,4.4,3.2,2.81,3.08,2.8,1.96,2.31,3.07,1.63,2.97
h_0,19.1,18.99,17.89,16.07,18.34,16.84,6.47,3.97,5.07,3.78,3.47,3.45,2.89,3.5,2.33,3.02
a_0,20.73,18.51,17.61,22.63,24.51,18.69,6.26,4.22,5.03,3.24,2.22,3.7,3.08,2.15,2.69,3.49
g_0,22.25,21.24,20.12,21.56,20.52,17.31,4.88,4.27,7.06,3.84,3.77,4.53,2.62,4.2,3.81,4.27
e_0,26.25,26.2,19.66,21.56,18.97,18.69,6.34,4.25,5.44,4.16,3.72,2.19,3.1,4.64,2.65,2.04
