,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,16.41,32.11,38.72,33.26,39.43,10.87,5.99,6.62,11.8,7.88,6.73,7.04,5.09,,6.28
f_1,32.63,0.44,30.76,24.83,52.88,29.43,7.63,7.9,6.35,15.93,7.48,,6.12,2.87,,
c_1,33.47,25.82,0.43,45.71,36.16,42.28,12.52,3.65,,10.38,9.14,5.9,9.14,4.45,5.74,5.02
d_1,39.84,60.39,37.82,0.42,38.05,30.69,6.99,,7.13,4.89,7.18,7.81,7.27,5.5,,3.11
b_1,50.25,37.86,18.95,46.47,0.4,42.15,8.39,7.04,7.69,10.62,,10.77,9.11,4.73,,4.91
a_1,48.69,49.31,67.22,53.4,23.67,0.33,8.85,10.32,7.19,17.29,7.98,14.35,,7.7,,7.66
h_1,21.08,20.99,15.92,14.98,12.71,15.09,0.37,3.78,5.82,4.48,3.56,3.16,3.26,,4.25,2.64
d_0,8.25,12.34,17.48,,10.58,21.04,6.11,0.53,3.4,3.89,2.85,2.85,2.43,2.62,2.37,2.09
c_0,16.89,17.25,,8.18,14.93,14.2,5.08,3.07,0.51,3.9,3.21,2.93,2.94,2.15,3.19,1.82
g_1,25.08,29.02,16.78,17.24,25.67,26.93,3.7,5.06,3.69,0.33,3.65,4.64,3.33,3.24,4.06,
b_0,17.65,17.57,17.92,18.57,,16.85,6.0,3.0,2.06,3.75,0.46,3.79,3.64,2.13,3.55,2.03
f_0,16.61,,26.56,17.38,17.09,17.32,3.66,4.1,3.15,3.52,4.08,0.44,3.18,2.06,3.04,1.7
a_0,19.01,16.98,25.73,23.45,21.4,,5.56,4.0,3.47,8.04,2.43,3.34,0.39,2.69,,
h_0,13.03,10.05,14.89,11.57,14.62,11.45,,2.15,2.97,3.79,3.07,3.15,3.2,,2.11,1.41
e_0,,,14.61,,,,7.71,4.81,4.07,6.65,3.19,1.84,,2.55,0.35,3.51
g_0,16.74,,13.76,16.16,18.84,18.73,2.57,3.13,2.41,,2.45,3.23,,1.28,3.29,
