,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.2,0.02,0.03,0.03,0.03,0.02,0.06,0.12,0.04,0.06,0.06,0.06,0.07,0.03,0.06,
f_1,0.05,2.26,0.04,0.03,0.03,0.01,0.06,0.05,0.04,0.06,0.06,,0.1,0.05,0.05,0.03
d_1,0.04,0.03,2.3,0.02,0.03,,0.06,,0.07,0.13,0.05,0.06,0.07,0.05,0.07,0.04
c_1,0.03,0.03,0.02,2.4,0.06,0.02,0.06,0.08,0.05,,0.06,0.05,0.08,0.04,0.07,0.04
b_1,0.03,0.03,0.03,0.02,2.56,0.05,0.04,0.08,0.04,0.06,,0.07,0.05,0.05,0.05,0.07
a_1,0.03,0.04,,0.04,0.02,2.98,0.05,0.08,,0.05,0.03,0.04,0.07,,0.08,0.05
h_1,0.1,0.17,0.1,0.08,0.07,0.11,2.75,0.25,0.21,0.28,0.22,0.18,,0.15,0.37,0.23
d_0,0.15,0.16,,0.26,0.13,0.12,0.25,1.98,0.21,0.28,0.26,0.3,0.47,0.23,0.4,0.2
g_1,0.1,0.11,0.16,0.11,0.09,,0.18,0.18,3.03,0.22,0.28,0.26,0.38,0.17,,
c_0,0.14,0.21,0.12,,0.07,0.1,0.35,0.21,0.24,2.13,0.52,0.26,0.37,0.2,0.46,0.26
b_0,0.14,0.14,0.12,0.11,,0.13,0.3,0.35,0.19,0.29,2.2,0.26,0.51,0.38,0.39,0.25
f_0,0.14,,0.13,0.14,0.11,0.1,0.36,0.35,0.19,0.29,0.29,2.27,0.42,0.27,0.3,0.44
h_0,0.22,0.29,0.24,0.19,0.19,0.15,,0.39,0.55,0.46,0.48,0.5,,0.34,0.58,0.31
a_0,0.14,0.1,0.15,0.12,0.15,,0.2,0.41,0.25,0.37,0.26,0.21,0.48,2.73,0.39,
g_0,0.25,0.16,0.35,0.18,0.2,0.13,0.35,0.43,,0.29,0.48,0.8,0.53,0.27,,0.39
e_0,,0.18,0.15,0.25,0.11,0.15,0.19,0.27,,0.28,0.3,0.36,0.36,,0.28,2.73
