,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,0.98,1.24,1.06,0.99,1.08,1.37,0.98,0.97,1.03,1.17,1.08,0.93,1.12,1.21
f_1,1.31,1.0,0.96,0.94,0.96,0.75,0.86,0.95,1.03,0.91,1.05,0.82,0.93,0.92,1.11,0.79
d_1,1.01,1.05,1.0,0.96,0.94,1.01,1.03,0.96,0.91,1.34,0.97,1.04,0.96,1.09,0.79,0.93
c_1,0.81,1.07,1.04,1.0,1.38,0.87,1.1,0.74,0.97,0.9,0.94,0.84,1.01,0.97,0.97,0.84
b_1,0.96,1.04,1.07,0.73,1.0,1.48,1.15,1.05,0.98,1.21,1.09,1.1,0.92,0.97,0.91,1.26
a_1,1.0,1.34,1.0,1.16,0.67,1.0,0.91,1.03,1.31,0.93,0.92,0.94,1.13,1.07,1.1,0.93
h_1,0.95,1.17,1.02,0.88,0.85,1.0,1.0,0.97,1.2,0.9,0.98,0.96,1.09,0.93,1.34,1.1
d_0,0.75,0.99,1.08,1.35,1.06,0.95,1.03,1.0,1.0,0.86,0.93,0.98,1.08,1.08,1.11,1.1
g_1,0.99,0.95,1.12,1.02,1.03,0.81,0.85,1.0,1.0,0.92,1.07,1.12,0.89,0.99,0.91,1.01
c_0,0.97,1.07,0.74,1.06,0.86,1.15,1.14,1.08,1.01,1.0,1.45,1.16,1.14,1.12,1.21,1.22
b_0,0.96,0.91,1.04,1.09,0.92,1.01,1.03,1.11,0.95,0.7,1.0,1.05,1.0,1.34,1.12,0.99
f_0,0.87,1.17,0.99,1.11,0.98,1.03,1.0,1.0,0.87,0.86,0.98,1.0,1.02,0.99,0.85,1.36
h_0,0.94,1.06,1.02,1.05,1.07,0.78,0.91,0.92,1.16,0.88,0.99,0.96,1.0,0.87,1.13,0.99
a_0,1.06,1.1,0.91,1.01,1.11,0.72,1.12,0.92,1.1,0.84,0.78,1.03,1.22,1.0,0.97,1.09
g_0,0.89,0.88,1.29,1.03,1.07,0.9,0.73,0.91,1.15,0.8,0.86,1.14,0.85,1.02,1.0,1.26
e_0,0.88,1.14,1.07,1.17,0.91,1.06,0.86,0.87,0.95,0.84,0.92,0.76,1.02,0.95,0.83,1.0
