,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.48,0.66,0.58,0.54,0.67,0.57,1.1,1.72,1.01,0.56,1.19,1.04,1.05,1.09,1.12,1.23
f_1,0.59,2.6,1.19,0.58,0.48,0.6,0.94,0.76,0.73,1.0,0.94,0.37,0.91,0.84,0.8,0.73
e_1,0.62,0.69,2.64,0.77,0.67,0.62,0.82,0.8,0.74,1.66,0.95,0.99,1.0,0.93,0.86,0.42
c_1,0.7,0.57,0.59,3.12,1.23,0.54,0.63,0.4,0.79,0.89,0.54,0.84,0.91,0.75,0.84,1.04
b_1,0.71,0.63,0.57,0.53,3.32,1.3,0.89,0.9,0.82,0.75,0.57,1.08,0.91,0.78,0.96,0.93
a_1,0.67,0.82,0.61,0.74,0.53,4.49,0.89,0.87,0.98,0.83,1.11,1.02,1.03,0.46,1.07,0.7
h_1,0.8,1.05,0.8,0.96,0.56,0.62,2.66,1.09,1.62,0.92,1.05,1.2,0.75,1.26,1.42,1.23
c_0,0.88,0.83,0.74,0.59,0.66,0.79,1.21,2.06,1.27,1.16,2.23,1.1,1.22,1.64,1.32,1.28
g_1,1.26,0.73,0.65,0.81,0.68,0.65,1.11,1.0,3.11,0.79,1.04,1.75,1.15,1.06,0.95,1.33
d_0,0.47,0.83,0.83,1.61,0.84,0.65,1.0,0.79,1.07,2.03,1.11,1.06,1.19,0.92,0.92,0.93
b_0,0.77,0.94,0.75,0.91,0.53,0.7,1.2,1.06,1.17,0.98,2.31,1.32,1.19,2.46,1.24,1.3
f_0,0.96,0.58,0.56,0.96,0.86,0.7,1.11,1.25,1.4,1.13,1.07,2.55,1.18,1.57,1.31,2.65
h_0,0.87,1.14,0.81,0.86,0.71,0.64,0.74,1.08,1.4,1.09,1.08,1.19,0.78,1.18,1.53,1.19
a_0,1.0,0.86,0.81,0.89,0.67,0.42,1.52,1.1,1.15,1.09,1.09,1.12,1.36,3.03,1.37,1.26
g_0,1.39,0.68,0.65,0.83,0.66,0.62,1.06,1.18,0.95,0.9,1.1,1.99,1.13,1.25,0.93,1.37
e_0,0.84,1.0,0.47,0.86,0.78,0.92,1.38,1.26,1.55,1.16,1.13,1.14,1.26,1.12,1.02,3.05
