,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.9,0.9,0.85,0.63,0.4,0.41,0.38,0.33,0.37,0.35,0.28,0.35,0.36,0.3
e_1,0.76,1.0,0.9,1.19,0.92,0.65,0.6,0.56,0.5,0.44,0.39,0.41,0.34,0.34,0.36,0.37
d_1,1.12,1.11,1.0,0.81,0.87,0.75,0.52,0.5,0.34,0.57,0.42,0.38,0.38,0.32,0.27,0.31
c_1,1.11,0.84,1.22,1.0,1.2,0.75,0.49,0.32,0.51,0.33,0.36,0.41,0.4,0.37,0.29,0.35
b_1,1.18,1.08,1.16,0.85,1.0,1.21,0.61,0.5,0.56,0.56,0.43,0.4,0.37,0.32,0.39,0.38
a_1,1.57,1.52,1.34,1.33,0.83,1.0,0.85,0.66,0.63,0.62,0.68,0.55,0.56,0.5,0.4,0.43
h_1,2.53,1.73,1.86,1.99,1.71,1.17,1.0,0.81,1.03,0.81,0.65,0.61,0.67,0.59,0.79,0.5
d_0,2.33,1.65,2.23,3.33,1.94,1.52,1.23,1.0,1.07,0.91,0.83,0.9,0.91,0.7,0.85,0.8
g_1,2.82,2.12,2.86,2.04,1.83,1.57,1.01,0.99,1.0,1.0,0.9,1.06,0.64,0.65,0.74,0.68
c_0,2.95,2.33,1.72,2.77,1.64,1.58,1.23,1.12,0.94,1.0,1.31,0.82,0.84,0.94,0.84,0.76
b_0,2.74,2.55,2.38,2.69,2.41,1.29,1.57,1.23,1.08,0.79,1.0,0.96,0.88,1.2,0.84,0.72
f_0,2.81,2.38,2.64,2.47,2.5,1.84,1.66,1.16,0.95,1.12,1.1,1.0,1.02,0.85,0.66,1.21
h_0,3.4,2.89,2.76,2.54,2.75,1.95,1.51,1.12,1.58,1.14,1.15,1.0,1.0,0.86,1.07,0.75
a_0,3.07,2.97,2.97,2.76,2.91,1.92,1.65,1.44,1.44,1.08,0.85,1.16,1.19,1.0,0.9,0.96
g_0,2.88,2.73,3.57,3.48,2.69,2.45,1.28,1.17,1.35,1.19,1.24,1.48,0.94,1.02,1.0,1.03
e_0,3.36,3.06,3.09,2.92,2.64,2.37,2.0,1.29,1.46,1.29,1.26,0.85,1.33,1.15,0.96,1.0
