,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.07,2.19,2.95,2.87,3.68,3.08,1.18,1.4,1.23,0.96,0.84,0.86,0.85,0.79,2.87,0.74
f_1,4.1,1.07,3.33,3.36,3.27,2.34,0.93,1.28,0.85,0.86,2.63,0.92,0.8,0.52,0.71,0.61
c_1,3.65,3.37,1.07,4.03,3.77,2.68,1.38,1.24,0.66,1.4,1.03,0.89,1.11,0.87,0.85,0.65
d_1,4.2,3.57,3.68,1.07,3.29,3.44,1.55,0.86,2.32,1.06,1.21,0.92,1.01,0.71,0.84,0.56
b_1,3.26,3.79,2.63,3.98,1.07,3.62,1.55,1.56,1.15,1.19,1.1,2.92,0.94,0.93,0.87,1.07
a_1,5.84,6.16,5.86,5.19,3.5,1.07,2.26,2.11,1.74,1.86,1.38,1.8,2.2,1.41,1.52,1.07
h_1,6.93,8.45,6.69,6.63,6.85,5.16,1.38,3.05,2.43,2.07,1.71,1.88,1.89,2.84,1.59,1.47
g_1,7.73,9.14,9.03,8.12,8.23,7.48,2.55,1.38,2.9,2.17,2.57,2.02,2.06,1.66,2.18,3.79
d_0,4.66,10.52,11.21,14.35,7.39,7.11,3.31,3.37,1.63,2.55,2.19,2.94,2.7,1.91,2.24,2.54
c_0,11.28,12.58,18.92,6.39,9.33,7.26,3.86,3.46,3.38,1.65,2.5,3.43,2.36,2.2,2.11,3.03
f_0,9.41,15.13,11.37,9.66,8.98,9.79,5.1,2.63,3.61,2.65,1.61,3.07,2.56,2.59,3.24,1.71
b_0,12.71,10.82,12.55,9.04,12.7,8.47,3.69,3.66,3.46,1.63,2.63,1.6,3.53,2.45,2.43,2.2
a_0,13.05,13.14,10.86,10.38,14.91,,4.56,5.1,4.29,3.04,2.67,2.24,1.64,2.24,3.76,2.53
h_0,10.99,14.54,11.87,13.46,12.79,9.95,8.76,5.1,4.04,3.41,3.31,3.97,3.36,4.67,3.13,3.0
e_0,15.54,19.16,14.29,13.53,13.12,9.63,4.96,4.71,4.82,3.81,2.23,4.47,2.92,3.53,1.68,2.41
g_0,14.19,16.69,15.58,14.93,11.54,17.29,5.23,8.21,4.0,3.81,4.43,4.13,3.64,2.77,4.76,4.93
