,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.01,0.87,0.83,0.63,0.49,0.36,0.58,0.43,0.45,0.37,0.37,0.33,0.35,0.29
f_1,0.93,1.0,1.24,0.98,0.81,0.7,0.4,0.5,0.36,0.39,0.35,0.36,0.3,0.3,0.23,0.31
e_1,0.98,0.8,1.0,1.24,0.95,0.77,0.57,0.43,0.46,0.64,0.47,0.44,0.36,0.32,0.35,0.36
c_1,1.14,1.02,0.82,1.0,1.33,0.68,0.59,0.47,0.4,0.3,0.39,0.42,0.35,0.41,0.36,0.32
b_1,1.2,1.23,1.04,0.76,1.0,1.15,0.53,0.53,0.44,0.51,0.41,0.44,0.34,0.41,0.4,0.41
a_1,1.57,1.43,1.29,1.47,0.88,1.0,0.71,0.74,0.64,0.55,0.57,0.56,0.45,0.58,0.44,0.41
h_1,1.96,2.45,1.81,1.81,1.92,1.41,1.0,1.07,0.75,0.74,0.81,0.77,0.66,0.7,0.69,0.73
g_1,2.68,2.02,2.43,2.08,1.91,1.33,0.95,1.0,0.96,0.89,0.93,1.12,0.74,0.61,0.78,0.66
c_0,1.71,2.73,2.16,2.4,2.16,1.67,1.33,1.06,1.0,1.19,1.26,0.88,0.95,0.72,0.79,0.73
d_0,2.25,2.33,1.61,3.25,2.02,1.79,1.33,1.12,0.85,1.0,0.91,1.03,0.74,0.81,0.79,0.84
b_0,2.25,2.82,2.2,2.68,2.39,1.57,1.26,1.1,0.82,1.15,1.0,1.11,1.28,0.97,0.95,0.92
f_0,2.72,2.86,2.25,2.52,2.3,1.72,1.3,0.88,1.07,0.98,0.95,1.0,0.83,0.96,1.16,0.7
a_0,2.71,3.04,2.83,3.02,2.9,2.39,1.51,1.35,1.07,1.21,0.78,1.22,1.0,1.08,0.89,0.98
h_0,3.05,3.4,3.07,2.48,2.36,1.6,1.46,1.69,1.36,1.25,1.06,1.0,0.95,1.0,0.91,1.04
e_0,2.87,4.07,2.91,2.85,2.64,2.22,1.5,1.33,1.21,1.25,1.05,0.86,1.17,1.07,1.0,0.93
g_0,3.52,3.16,2.63,3.15,2.42,2.36,1.4,1.62,1.4,1.15,1.02,1.42,0.99,0.91,1.05,0.99
