,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.06,1.12,1.07,0.91,1.16,1.15,1.22,1.36,1.08,1.09,1.04,1.13,1.09,1.06
f_1,1.31,1.0,0.91,1.1,0.85,0.97,0.8,0.94,0.84,0.89,0.91,0.92,0.88,0.78,0.78,1.05
d_1,0.94,1.09,1.0,0.88,1.05,1.03,1.05,0.87,1.24,1.1,0.93,1.02,0.94,0.87,1.17,0.78
c_1,0.9,0.9,1.13,1.0,1.34,1.03,1.03,0.87,0.63,0.73,0.97,0.8,1.01,1.01,0.95,0.97
b_1,0.94,1.19,0.96,0.74,1.0,1.43,1.13,1.03,1.06,0.99,1.1,1.17,0.91,1.15,0.86,1.11
a_1,1.11,1.04,0.97,0.97,0.69,1.0,1.07,1.13,1.03,1.26,1.08,1.11,1.28,1.16,1.19,1.18
h_1,0.89,1.28,0.9,0.95,0.91,0.91,1.0,1.33,0.95,0.95,0.92,1.02,0.99,1.08,1.01,1.23
g_1,0.92,1.04,1.21,1.07,0.96,0.85,0.77,1.0,0.94,0.84,1.21,0.95,0.96,0.9,0.88,1.11
c_0,0.84,1.17,0.83,1.46,0.91,0.97,1.05,1.0,1.0,1.07,1.0,1.6,1.19,1.14,1.18,1.19
d_0,0.74,1.07,0.94,1.42,1.04,0.74,1.05,1.18,0.92,1.0,0.92,1.02,1.11,1.25,1.07,1.02
f_0,0.89,1.12,1.04,1.08,0.93,0.89,1.07,0.84,0.98,1.06,1.0,0.94,1.06,1.05,1.47,0.84
b_0,0.88,1.11,0.95,1.29,0.95,0.86,0.94,1.09,0.65,0.98,1.1,1.0,1.38,1.1,0.91,1.07
a_0,0.94,1.12,1.02,1.03,1.11,0.75,1.04,1.04,0.84,0.94,0.99,0.7,1.0,1.11,0.83,1.03
h_0,0.91,1.28,1.19,0.96,0.84,0.84,0.91,1.1,0.86,0.83,0.93,0.91,0.92,1.0,0.83,1.11
e_0,0.99,1.27,0.92,1.06,1.2,0.82,0.94,1.19,0.98,0.99,0.69,1.07,1.13,1.14,1.0,0.9
g_0,0.94,0.95,1.24,1.04,0.94,0.84,0.82,0.89,0.84,0.94,1.23,0.97,1.0,0.89,1.03,1.0
