,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.39,0.94,0.91,0.83,0.77,0.27,0.25,0.21,0.2,0.21,0.17,0.12,0.17,0.37,0.14
f_1,0.75,0.17,0.68,0.78,0.8,0.7,0.16,0.23,0.17,0.13,0.32,0.14,0.08,0.14,0.14,0.14
d_1,0.81,0.89,0.15,0.8,0.88,0.75,0.19,0.13,0.45,0.15,0.13,0.15,0.11,0.12,0.16,0.07
c_1,0.64,0.85,0.92,0.15,0.75,0.74,0.27,0.24,0.09,0.36,0.15,0.16,0.1,0.2,0.14,0.11
b_1,0.76,1.0,0.85,0.4,0.13,0.86,0.23,0.3,0.15,0.22,0.16,0.34,0.12,0.17,0.16,0.11
a_1,0.88,0.99,0.66,0.99,0.41,0.09,0.24,0.24,0.2,0.14,0.19,0.2,0.16,0.51,0.13,0.14
h_1,0.62,0.65,0.61,0.6,0.56,0.74,0.07,0.2,0.15,0.12,0.13,0.12,0.13,0.11,0.12,0.09
g_1,0.58,0.69,0.64,0.72,0.57,0.72,0.12,0.05,0.14,0.12,0.13,0.14,0.07,0.12,0.11,0.14
d_0,0.32,0.65,1.45,0.7,0.63,0.65,0.22,0.25,0.06,0.12,0.14,0.13,0.1,0.13,0.13,0.12
c_0,0.66,0.74,0.29,1.63,0.57,0.62,0.17,0.19,0.21,0.06,0.13,0.18,0.1,0.13,0.13,0.1
f_0,0.59,0.94,0.71,0.66,0.51,0.59,0.18,0.11,0.13,0.12,0.05,0.12,0.08,0.11,0.13,0.05
b_0,0.63,0.61,0.51,0.83,1.18,0.51,0.18,0.16,0.13,0.06,0.14,0.06,0.08,0.15,0.13,0.1
h_0,0.61,0.59,0.66,0.58,0.61,0.48,0.28,0.17,0.15,0.13,0.1,0.12,0.15,0.09,0.11,0.08
a_0,0.56,0.58,0.62,0.75,0.79,0.8,0.16,0.17,0.17,0.12,0.13,0.07,0.09,0.04,0.15,0.1
e_0,0.98,1.18,0.52,0.71,0.57,0.62,0.18,0.15,0.11,0.1,0.06,0.1,0.06,0.11,0.04,0.07
g_0,0.56,0.7,0.61,0.64,0.7,0.58,0.15,0.27,0.13,0.11,0.12,0.09,0.06,0.1,0.1,0.11
