,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,1.0,1.2,1.02,0.94,0.99,1.09,0.99,1.33,0.99,1.14,1.02,1.0,1.06,1.17
f_1,1.23,1.0,0.92,1.0,0.94,0.94,0.87,1.05,0.88,0.95,1.0,0.88,0.83,0.89,0.76,1.01
d_1,0.99,1.09,1.0,0.93,0.93,1.01,1.0,0.87,1.21,0.97,0.98,0.97,1.03,1.09,0.97,0.91
c_1,0.86,0.98,1.11,1.0,1.33,0.96,0.98,1.03,0.89,0.77,0.88,0.92,0.99,0.91,1.0,0.93
b_1,0.98,1.08,1.05,0.75,1.0,1.42,1.06,1.03,1.06,0.97,0.98,1.02,1.09,0.96,1.05,1.02
a_1,1.05,1.02,1.0,1.05,0.73,1.0,1.17,0.98,1.15,1.1,1.31,1.08,1.28,1.13,1.11,0.99
h_1,1.02,1.15,0.98,1.0,0.95,0.83,1.0,1.14,0.93,0.91,0.92,1.03,0.96,0.95,0.9,1.1
g_1,0.9,0.97,1.11,0.97,0.96,1.0,0.92,1.0,1.02,0.96,0.97,1.21,0.88,0.97,1.08,0.89
c_0,1.01,1.08,0.82,1.13,0.95,0.86,1.07,0.96,1.0,1.18,1.3,1.04,1.07,1.17,1.12,1.05
d_0,0.78,1.03,1.03,1.3,1.07,0.91,1.08,0.98,0.84,1.0,0.97,1.0,0.99,0.87,1.09,1.06
b_0,0.99,1.03,1.01,1.11,0.99,0.75,1.09,1.01,0.77,1.0,1.0,0.92,1.08,1.34,0.93,1.0
f_0,0.84,1.09,1.02,1.1,0.99,0.95,1.01,0.81,0.99,1.02,1.07,1.0,1.05,1.01,1.61,0.89
h_0,0.97,1.19,0.98,0.97,0.9,0.79,1.03,1.15,0.89,1.02,0.94,0.95,1.0,1.04,1.03,1.13
a_0,0.93,1.08,0.91,1.11,1.0,0.91,1.09,1.03,0.88,1.11,0.75,1.01,0.93,1.0,1.11,0.97
e_0,0.99,1.23,1.04,0.98,0.96,0.91,1.17,0.94,0.95,0.93,1.09,0.71,1.03,0.91,1.0,1.0
g_0,0.89,0.99,1.06,1.07,1.04,0.97,0.88,1.12,0.93,0.93,1.0,1.14,0.88,1.0,1.04,1.0
