,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.92,1.53,1.26,1.6,1.41,0.67,0.56,0.5,0.44,0.64,0.61,0.45,0.47,0.72,0.56
f_1,1.45,0.67,1.45,1.29,1.24,1.07,0.45,0.54,0.42,0.44,0.54,0.57,0.33,0.51,0.37,0.43
c_1,1.18,1.46,0.65,2.04,1.54,1.25,0.62,0.32,0.72,0.47,0.59,0.46,0.37,0.43,0.54,0.38
d_1,1.72,1.59,1.25,0.64,1.37,1.37,0.66,0.99,0.58,0.64,0.5,0.5,0.42,0.52,0.45,0.3
b_1,1.5,1.69,0.97,1.64,0.62,1.87,0.79,0.72,0.59,1.04,0.68,0.7,0.58,0.6,0.5,0.39
a_1,1.96,2.33,1.82,1.67,0.98,0.57,0.84,0.89,0.83,0.85,0.82,0.59,0.56,1.01,0.64,0.6
h_1,2.06,2.75,1.99,2.07,2.2,1.9,0.58,0.73,0.77,0.75,0.83,0.76,0.75,0.71,0.75,0.64
d_0,1.49,2.36,2.81,3.45,2.14,2.01,1.23,0.63,0.78,0.8,1.25,0.76,0.75,0.73,0.99,0.77
c_0,2.83,2.8,4.58,1.5,2.4,1.86,1.14,1.09,0.61,0.94,0.89,0.87,0.68,0.78,0.86,0.6
b_0,2.42,3.16,3.77,2.05,3.06,1.95,1.11,0.96,0.64,0.59,1.05,0.87,0.79,1.02,0.92,0.82
g_1,2.76,2.95,2.9,2.37,3.15,2.46,1.03,0.92,0.91,0.89,0.52,0.82,0.52,0.74,0.75,1.03
f_0,2.35,4.51,3.25,2.47,2.4,2.24,1.18,1.04,0.91,0.98,0.9,0.56,0.79,0.84,1.11,0.51
h_0,2.65,3.27,3.09,2.59,2.63,2.06,1.85,1.02,0.98,1.0,1.47,0.85,1.0,0.92,0.84,0.8
a_0,2.82,2.69,3.81,2.66,3.28,3.55,1.58,1.22,0.9,0.57,1.17,1.19,0.87,0.57,0.97,0.87
e_0,3.87,3.8,2.67,2.9,2.75,2.27,1.24,1.09,1.0,1.11,1.23,0.58,0.89,1.02,0.56,0.8
g_0,2.85,3.25,3.25,2.95,3.41,2.61,1.18,1.04,1.13,0.93,1.63,1.15,0.73,0.93,0.97,1.0
