,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.02,0.76,0.65,1.0,0.73,0.62,0.93,0.97,0.82,1.62,1.07,1.03,1.0,0.67,1.16,1.03
f_1,1.23,2.05,0.7,0.72,0.6,0.64,0.85,0.86,0.91,0.97,0.62,0.96,0.89,0.71,0.79,0.92
d_1,0.71,0.82,2.27,0.64,0.64,0.7,0.98,0.89,1.76,0.57,1.03,1.22,1.13,1.07,1.02,0.99
c_1,0.66,0.8,0.7,2.29,1.41,0.73,0.95,0.85,0.48,0.88,0.92,0.67,1.0,0.86,0.9,0.94
b_1,0.69,0.69,0.78,0.7,2.64,1.45,1.01,0.88,0.88,0.83,0.94,0.53,0.89,1.2,0.93,0.8
a_1,0.74,0.82,0.94,0.72,0.71,3.26,1.01,1.05,0.96,0.85,0.96,0.92,1.14,0.91,0.98,0.55
h_1,0.81,1.13,0.85,0.82,0.66,0.77,2.08,1.5,1.05,0.97,0.93,1.03,0.78,1.21,1.24,0.94
g_1,0.82,0.76,1.23,0.78,0.58,0.81,1.03,2.48,1.11,0.92,1.51,1.1,0.82,1.17,0.87,1.08
c_0,0.87,0.87,1.06,0.59,0.59,0.86,0.97,1.12,1.74,1.06,1.22,2.2,1.02,1.2,1.01,1.41
d_0,0.83,0.9,0.52,1.57,0.94,0.73,0.92,0.98,0.63,1.59,1.12,0.96,1.09,1.0,1.1,1.0
f_0,0.71,0.66,0.86,1.02,0.94,0.75,1.11,0.99,1.09,1.13,1.97,1.25,1.11,2.28,1.26,1.06
b_0,0.81,0.86,1.03,0.89,0.64,0.61,1.04,1.19,1.11,1.1,1.22,2.12,1.24,1.31,1.0,2.65
h_0,0.8,1.04,0.99,0.84,0.76,0.79,0.69,1.28,0.98,1.07,1.01,1.09,0.81,0.99,1.55,1.13
e_0,0.51,1.04,0.89,0.94,0.83,0.85,1.2,1.23,1.02,0.8,1.11,1.18,1.15,2.47,1.07,0.99
g_0,0.72,0.74,1.29,0.85,0.83,0.8,1.11,0.73,1.1,0.9,1.68,1.1,1.05,1.51,1.01,1.14
a_0,0.76,0.95,1.08,0.88,0.85,0.49,1.13,1.03,0.8,1.06,1.15,1.07,1.09,1.11,1.1,2.59
