,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.88,0.08,0.08,0.07,0.09,0.04,0.08,0.07,0.18,0.06,0.07,0.05,0.05,0.09,0.02,0.06
f_1,0.15,0.88,0.09,0.08,0.07,0.04,0.07,0.05,0.07,0.06,0.02,0.07,0.04,0.07,0.03,0.05
c_1,0.1,0.09,0.88,0.07,0.12,0.04,0.08,0.06,0.07,0.02,0.07,0.05,0.06,0.08,0.04,0.05
d_1,0.1,0.09,0.06,0.88,0.07,0.05,0.08,0.08,0.02,0.12,0.08,0.08,0.07,0.07,0.04,0.06
b_1,0.08,0.09,0.08,0.08,0.88,0.08,0.08,0.05,0.09,0.07,0.07,0.02,0.03,0.06,0.04,0.07
a_1,0.08,0.11,0.09,0.07,0.08,0.87,0.1,0.05,0.08,0.08,0.05,0.06,0.01,0.07,0.06,0.04
h_1,0.16,0.23,0.15,0.13,0.12,0.07,0.52,0.14,0.13,0.12,0.08,0.11,0.08,0.03,0.08,0.11
g_1,0.13,0.13,0.15,0.26,0.1,0.07,0.12,0.52,0.11,0.13,0.17,0.12,0.08,0.11,0.08,0.04
d_0,0.15,0.2,0.28,0.04,0.13,0.07,0.12,0.09,0.38,0.09,0.09,0.08,0.07,0.13,0.06,0.12
c_0,0.16,0.2,0.07,0.16,0.12,0.07,0.13,0.14,0.11,0.37,0.12,0.24,0.11,0.14,0.09,0.11
f_0,0.19,0.04,0.17,0.12,0.12,0.09,0.16,0.12,0.16,0.13,0.38,0.15,0.14,0.14,0.18,0.12
b_0,0.18,0.17,0.18,0.19,0.03,0.05,0.15,0.14,0.11,0.12,0.12,0.39,0.16,0.11,0.08,0.1
a_0,0.17,0.18,0.13,0.16,0.13,,0.14,0.13,0.12,0.14,0.14,0.11,0.37,0.14,0.1,0.1
h_0,0.15,0.26,0.12,0.17,0.11,0.06,0.04,0.13,0.13,0.13,0.09,0.09,0.11,0.05,0.07,0.12
e_0,0.04,0.21,0.15,0.18,0.15,0.09,0.17,0.12,0.12,0.16,0.12,0.12,0.07,0.14,0.36,0.09
g_0,0.16,0.18,0.17,0.22,0.09,0.07,0.15,0.03,0.11,0.09,0.16,0.1,0.09,0.11,0.09,0.04
