,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.12,5.55,4.91,4.64,4.58,4.76,1.4,1.05,0.87,2.78,1.21,0.88,0.66,0.85,0.46,1.07
f_1,5.4,1.12,4.88,5.74,5.47,4.0,1.13,1.03,1.75,1.09,0.89,1.73,0.53,1.03,0.89,0.81
e_1,6.07,2.87,1.13,5.8,6.13,5.89,1.59,1.24,1.88,1.14,1.27,1.51,0.83,1.2,1.02,2.76
c_1,8.08,7.25,5.47,1.13,7.72,5.94,1.54,2.06,1.59,0.68,1.09,1.08,0.91,1.3,0.94,1.24
b_1,6.39,9.24,6.52,3.57,1.13,8.93,2.68,1.61,2.44,1.3,3.73,1.44,1.11,1.59,1.13,1.42
a_1,10.61,10.17,9.54,11.63,4.71,1.15,3.51,2.4,3.04,2.21,2.1,2.55,1.92,4.69,1.78,1.86
h_1,14.08,16.22,19.46,23.34,17.39,17.78,1.79,3.5,5.18,4.05,3.47,3.89,4.05,2.67,2.51,2.74
c_0,11.08,24.11,24.25,43.55,19.97,21.3,6.04,2.3,6.87,6.16,5.15,4.37,3.48,4.86,3.08,3.82
g_1,18.85,28.09,24.78,24.73,22.85,19.58,3.73,3.93,1.83,4.93,4.09,3.63,2.57,4.86,3.6,3.03
d_0,34.13,20.51,12.26,21.78,28.68,23.63,7.42,5.13,9.25,2.37,5.58,4.4,3.14,5.84,3.75,4.32
b_0,18.94,23.95,22.51,42.29,40.24,21.53,8.21,2.75,8.07,5.28,2.37,6.17,4.16,5.04,3.47,5.17
f_0,24.28,61.52,24.25,32.79,25.2,24.53,7.29,5.45,5.1,6.33,4.98,2.4,4.28,6.11,2.4,5.32
h_0,28.48,31.3,29.19,33.54,33.7,27.69,14.1,6.87,9.01,6.86,6.28,6.47,7.88,5.52,4.96,5.4
a_0,28.92,46.95,34.79,47.84,45.69,62.52,9.3,5.62,11.19,11.08,3.6,6.55,5.04,2.53,4.72,6.67
g_0,32.38,43.51,43.05,42.91,37.97,32.85,8.81,7.3,12.62,9.37,7.28,7.56,4.32,6.3,8.13,8.16
e_0,30.55,50.97,93.08,34.74,36.43,51.0,11.43,8.53,9.91,11.27,7.37,3.86,5.83,7.46,4.55,2.76
