,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.27,1.45,0.76,0.82,0.7,0.46,1.36,1.72,1.51,1.31,1.54,0.86,2.08,1.34,0.92,1.51
e_1,1.06,2.33,0.71,0.9,0.78,0.65,1.57,3.03,1.48,1.26,1.94,1.46,2.38,1.35,1.14,1.78
d_1,0.95,0.89,2.51,0.64,0.75,0.62,1.53,1.21,3.37,1.46,1.86,1.78,2.25,1.73,1.47,2.18
c_1,0.82,0.76,0.77,2.49,1.48,0.71,1.34,1.53,0.89,1.0,1.13,1.53,1.92,1.35,1.45,1.8
b_1,0.79,0.84,0.75,0.88,2.56,1.27,1.57,1.67,1.43,1.27,1.16,1.65,2.15,0.94,1.36,2.09
a_1,0.93,0.83,1.0,0.87,0.69,3.08,1.67,1.69,1.66,1.62,1.47,1.51,2.09,1.05,1.63,1.81
h_1,1.32,0.79,1.04,0.99,0.69,0.58,3.31,1.75,1.66,1.94,1.81,1.57,1.53,1.8,1.6,2.62
d_0,1.0,0.77,0.58,1.72,0.89,0.67,1.76,2.91,1.27,1.57,1.6,1.7,2.51,1.55,1.47,1.82
c_0,1.12,1.03,0.97,0.86,0.61,0.66,1.76,1.65,3.1,1.65,3.58,1.57,2.4,2.22,1.64,2.26
g_1,0.88,0.87,1.45,0.95,0.79,0.61,1.5,1.72,1.73,3.62,1.93,2.65,2.44,1.37,1.51,1.57
b_0,1.13,0.87,1.05,1.05,0.49,0.72,1.68,2.11,1.79,1.36,3.25,1.46,2.67,3.24,1.44,1.96
f_0,0.78,0.6,1.12,1.04,0.92,0.77,2.11,1.69,2.16,1.57,2.27,3.52,2.51,1.95,3.58,2.51
h_0,1.3,0.95,0.94,0.9,0.77,0.8,1.14,1.71,1.69,2.07,1.95,1.68,1.75,1.25,1.41,2.66
a_0,1.1,0.92,1.02,1.03,0.87,0.42,2.02,1.78,1.99,1.71,2.14,1.68,2.59,3.43,1.48,2.13
e_0,1.03,0.64,1.0,1.06,0.86,0.86,1.97,1.57,2.0,1.58,2.15,1.46,2.84,1.8,3.36,2.53
g_0,0.94,0.71,1.53,0.89,0.67,0.75,1.8,1.47,2.01,1.25,2.2,2.61,2.38,1.65,1.91,1.97
