,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9036.64,6258.17,6275.93,6823.36,12869.0,35714.85,6769862.24,14589910.53,13633161.3,22553871.38,18353403.87,38635867.56,121694951.18,179084726.91,208287728.45,329096552.91
e_1,3778.83,9779.24,8278.06,6513.07,13836.72,43106.15,7374125.33,25611700.6,15113969.99,24351777.09,32200054.87,40019819.77,138834132.38,201937992.4,266112754.89,320042723.16
c_1,3692.9,2850.62,20123.4,7083.36,28141.47,48317.13,6486189.44,12283962.36,14158230.33,11655627.59,28052603.45,27948101.72,119531294.66,216617466.22,239290734.96,406233967.19
d_1,3372.53,3743.22,4990.39,22716.45,13400.27,45952.6,7624295.11,9899341.22,17022994.09,48215273.38,38085102.78,49197593.4,126742525.86,289076586.07,252298715.71,401300444.76
b_1,3570.87,3424.81,6965.22,6699.85,52758.56,90407.18,6777682.56,15982542.42,14490493.34,20010412.14,28351587.89,22106058.81,132385905.85,248987619.15,234765763.98,405602206.82
a_1,3699.55,3488.74,8097.08,7964.39,14717.28,207206.56,6897928.91,15947385.94,13122007.21,21504147.18,29382527.48,37335723.06,135595730.49,269014015.81,188458343.3,375381877.54
h_1,5029.33,3936.38,8612.16,7936.84,14599.4,39369.06,16209221.98,13926008.91,22010790.96,25191355.73,31136575.05,47427123.85,97677118.83,236202453.36,251707584.26,516390719.14
d_0,3997.35,3702.86,12617.95,5569.32,17664.65,48923.45,8424390.75,25234097.12,14691305.78,21290758.71,38128766.8,42291595.82,129172009.92,239671703.86,247732793.19,476422856.8
g_1,3680.54,3637.58,6488.84,12859.44,14681.78,40628.85,7734807.04,13430482.21,40319973.27,25610487.58,52737812.78,47602228.85,138730644.5,330210956.73,344706587.66,329266829.79
c_0,3940.76,4617.69,5476.08,8737.77,13556.89,42761.54,8602569.37,16251687.21,21462705.68,45920272.98,39061695.49,91481425.42,149472432.55,370974854.76,376351212.24,458908940.7
f_0,2837.57,2979.06,7922.27,9136.66,19100.06,59112.31,9122586.52,17497873.3,17274336.75,32779258.42,63191114.42,48942683.59,145552926.59,684408101.46,287024897.12,515616785.38
b_0,4309.33,4367.78,8201.46,9007.13,11606.64,40150.11,8554245.25,14813852.37,20410904.39,24870025.96,33352260.62,85425971.18,149514782.01,316047853.0,580045526.1,515824837.34
h_0,5178.69,3850.17,7306.35,8076.45,16191.32,49710.63,6635650.25,16364217.12,20967903.84,24440921.99,32230525.26,47817048.69,117202017.05,327348102.94,296763241.84,542844693.22
e_0,3433.55,3097.84,8574.06,8748.04,19306.32,47154.43,9686523.92,18725847.43,19225346.71,27531153.51,39382399.07,55256410.32,169899340.47,685917961.85,377491939.81,563887186.68
a_0,4906.91,3852.39,8021.24,8485.61,16277.75,30400.92,7802147.84,16432335.86,16164670.17,26032751.49,35616832.09,46665811.12,170388963.93,310227008.34,688741587.21,483343779.32
g_0,2496.58,3803.02,7400.68,12440.34,18201.01,51259.08,8047902.34,12467974.95,13594811.82,30060671.4,54940168.96,51144187.06,145361856.85,359329571.96,267634877.0,381404744.35
