,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.35,0.67,0.66,0.94,0.87,0.74,1.43,2.87,1.46,1.54,2.02,1.92,1.49,2.05,0.95,2.27
f_1,1.21,2.41,0.81,0.72,0.73,0.58,1.21,1.43,1.48,1.81,1.56,0.73,1.81,1.96,1.33,1.92
d_1,0.83,0.7,2.51,0.71,0.69,0.75,1.67,0.81,1.32,2.81,1.89,1.66,1.73,2.29,2.11,1.95
c_1,0.65,0.79,0.76,2.55,1.17,0.9,1.44,1.48,1.31,0.63,1.53,1.55,1.63,2.22,1.83,2.49
b_1,0.63,0.81,0.92,0.69,2.74,1.19,1.44,1.83,1.63,1.54,0.4,1.87,1.44,2.24,1.88,1.46
a_1,0.83,0.9,0.68,0.82,0.66,3.34,1.61,1.38,1.6,1.79,2.01,1.95,0.58,1.8,1.74,1.85
h_1,1.02,1.48,0.95,0.9,0.98,0.9,3.82,1.86,2.01,1.79,1.94,2.02,2.21,1.46,2.18,2.97
d_0,0.9,1.09,0.57,1.71,0.97,1.08,2.05,3.7,2.12,1.77,2.54,2.21,2.26,2.98,2.03,2.88
g_1,0.96,0.9,1.4,1.11,0.82,0.78,1.97,2.11,4.39,2.42,2.18,3.18,2.38,2.86,2.48,2.0
c_0,1.05,1.16,1.01,0.74,0.78,0.94,2.49,2.42,2.12,3.8,4.05,2.83,2.44,3.06,2.51,3.37
b_0,0.95,1.34,0.99,1.08,,0.92,2.48,2.28,2.2,1.72,4.04,2.71,3.93,2.72,2.07,2.63
f_0,0.72,0.63,1.33,1.27,0.94,0.92,2.28,2.53,2.05,2.33,2.23,4.29,2.9,2.98,4.33,2.94
a_0,1.21,1.05,1.07,1.02,1.07,,2.06,2.02,2.06,2.27,1.4,2.33,4.71,2.91,2.11,2.23
h_0,1.04,1.31,1.0,0.96,0.84,0.98,1.4,2.19,2.34,2.02,2.21,2.3,2.26,1.51,2.15,3.81
e_0,0.43,1.16,1.15,0.96,1.08,1.26,1.98,2.37,2.29,2.28,2.83,1.99,2.09,3.3,4.73,3.16
g_0,0.92,1.02,1.46,0.92,1.23,0.91,1.71,1.67,1.13,1.82,2.24,3.22,2.07,2.29,2.16,1.75
