,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.44,0.26,0.26,0.26,0.18,0.21,0.18,0.21,0.16,0.08,0.16,0.15,0.09,0.12,0.11
e_1,0.28,0.94,0.33,0.26,0.22,0.19,0.19,0.15,0.29,0.17,0.19,0.16,0.17,0.07,0.12,0.14
c_1,0.32,0.27,0.94,0.28,0.4,0.14,0.2,0.18,0.16,0.09,0.17,0.1,0.2,0.15,0.11,0.17
d_1,0.34,0.29,0.26,0.94,0.27,0.13,0.2,0.15,0.11,0.32,0.16,0.15,0.19,0.12,0.1,0.14
b_1,0.31,0.32,0.29,0.26,0.93,0.35,0.22,0.16,0.19,0.19,0.17,0.08,0.16,0.13,0.12,0.13
a_1,0.36,0.38,0.38,0.37,0.22,0.93,0.21,0.2,0.2,0.16,0.22,0.23,0.2,0.2,0.07,0.13
h_1,0.66,0.55,0.57,0.53,0.44,0.35,0.72,0.39,0.33,0.31,0.36,0.28,0.17,0.26,0.19,0.32
g_1,0.56,0.5,0.49,0.82,0.47,0.33,0.3,0.73,0.36,0.33,0.51,0.35,0.25,0.21,0.26,0.19
d_0,0.57,0.54,0.92,0.29,0.49,0.42,0.41,0.32,0.59,0.31,0.37,0.33,0.33,0.26,0.32,0.3
c_0,0.77,0.63,0.43,0.54,0.38,0.39,0.39,0.35,0.42,0.61,0.41,0.58,0.4,0.26,0.3,0.36
f_0,0.34,0.54,0.68,0.7,0.56,0.38,0.33,0.26,0.42,0.36,0.63,0.4,0.38,0.43,0.22,0.25
b_0,0.66,0.65,0.75,0.74,0.26,0.3,0.4,0.36,0.41,0.29,0.3,0.61,0.42,0.22,0.52,0.29
h_0,0.78,0.57,0.63,0.66,0.56,0.35,0.29,0.49,0.43,0.35,0.37,0.34,0.29,0.31,0.33,0.41
e_0,0.91,0.33,0.63,0.74,0.58,0.31,0.41,0.46,0.38,0.48,0.36,0.53,0.38,0.6,0.37,0.35
a_0,0.72,0.66,0.79,0.85,0.5,0.26,0.5,0.36,0.33,0.41,0.38,0.33,0.41,0.26,0.6,0.35
g_0,0.73,0.67,0.58,0.92,0.6,0.42,0.37,0.19,0.38,0.33,0.54,0.4,0.35,0.36,0.25,0.22
