,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.92,2.41,1.94,2.83,2.25,2.14,8.09,7.96,17.26,9.23,10.65,11.0,15.47,14.72,11.54,9.2
f_1,3.85,6.06,1.99,2.31,1.85,1.78,7.9,7.62,11.08,9.27,10.99,6.43,13.39,14.45,11.14,7.98
d_1,2.0,2.43,6.62,1.69,2.29,2.21,8.41,9.27,7.03,19.21,14.06,13.47,17.25,15.53,11.84,11.76
c_1,1.99,2.12,2.24,6.76,3.92,2.46,7.32,7.85,9.68,6.35,7.2,9.3,15.09,16.1,11.22,10.62
b_1,2.12,2.21,2.15,2.34,7.42,4.2,7.27,6.86,9.34,10.86,7.42,9.73,16.61,15.52,9.02,13.13
a_1,2.03,2.4,2.11,2.52,2.39,10.87,9.16,9.33,10.06,7.85,10.97,10.67,17.59,17.4,7.83,11.61
h_1,2.32,3.06,2.52,2.59,2.22,2.28,17.14,11.15,9.92,10.68,12.56,14.14,13.0,23.6,13.87,14.63
g_1,2.18,2.19,3.85,2.34,2.25,2.46,8.55,20.9,7.57,11.62,11.98,18.72,17.74,14.71,13.43,15.97
d_0,2.25,2.78,1.72,4.46,2.38,2.26,8.26,8.18,17.59,8.14,11.0,11.46,18.12,17.02,12.62,14.19
c_0,2.54,2.6,2.75,2.12,1.94,2.29,10.02,9.04,11.93,19.54,23.48,13.8,17.25,20.03,15.83,12.83
b_0,2.3,2.73,2.89,2.79,2.06,2.2,9.47,8.92,10.66,10.73,21.93,11.81,18.64,20.85,26.89,13.4
f_0,1.91,1.92,2.95,2.76,2.42,3.18,8.47,9.76,11.74,12.97,13.24,23.53,19.83,22.03,14.68,27.68
h_0,2.28,3.68,2.48,2.47,2.23,2.23,7.17,11.21,10.64,10.93,11.03,11.27,14.28,21.43,12.26,11.67
g_0,2.01,2.41,4.14,2.63,2.15,2.12,8.99,7.45,9.61,10.68,12.41,18.16,17.75,13.2,10.93,12.29
a_0,2.54,2.8,2.31,3.02,2.41,2.07,9.3,8.02,11.61,12.57,12.91,12.66,20.49,17.49,28.47,13.03
e_0,1.58,2.53,2.88,2.99,2.28,2.99,10.5,9.04,11.12,11.18,12.84,14.69,19.11,20.42,13.45,29.97
