,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,19.06,0.6,0.48,0.41,0.39,0.49,1.02,0.85,2.23,0.34,1.14,1.02,1.11,0.93,1.19,1.15
f_1,0.52,17.27,1.15,0.51,0.45,0.58,0.67,0.81,0.66,0.71,0.81,0.31,0.81,1.03,0.55,0.69
e_1,0.43,0.59,18.26,0.74,0.5,0.46,0.92,0.77,0.91,2.29,1.03,1.01,0.91,0.76,0.45,0.91
c_1,0.48,0.43,0.43,19.27,1.29,0.45,0.97,0.76,0.28,0.81,0.92,0.93,0.93,1.03,0.92,0.9
b_1,0.48,0.57,0.47,0.56,21.64,1.18,0.69,0.89,0.62,0.93,0.3,0.92,0.71,1.06,0.98,1.0
a_1,0.71,0.59,0.44,0.57,0.52,33.91,0.81,1.03,1.02,0.71,0.73,0.89,0.28,1.15,0.81,0.76
h_1,0.86,0.96,0.55,0.58,0.63,0.61,5.7,1.55,1.06,0.92,1.29,1.25,1.09,0.66,1.57,1.82
g_1,1.34,0.47,0.77,0.59,0.64,0.55,1.02,6.64,1.18,0.79,1.26,2.15,1.03,0.89,1.56,0.42
c_0,0.76,0.79,0.66,0.33,0.58,0.7,1.34,1.25,3.31,1.35,2.98,1.3,1.69,1.18,1.3,1.26
d_0,0.29,0.6,0.64,2.08,0.56,0.67,0.93,0.9,0.82,3.62,1.23,1.27,1.06,1.17,1.21,1.43
b_0,0.64,0.86,0.61,0.78,0.27,0.52,1.33,1.23,1.23,1.4,4.38,1.69,2.94,1.46,1.72,1.82
f_0,0.97,0.33,0.6,0.73,0.74,0.67,1.25,1.16,1.26,1.14,1.31,3.84,1.27,1.32,2.61,1.33
a_0,0.67,0.81,0.64,0.72,0.75,0.34,1.19,1.09,1.1,1.2,1.06,1.35,4.76,1.7,1.18,1.44
h_0,0.8,1.27,0.73,0.56,0.64,0.52,0.51,1.7,1.42,1.32,1.11,0.95,1.36,0.59,1.21,1.49
e_0,0.79,0.89,0.34,0.67,0.61,0.74,1.63,1.31,1.24,1.06,1.13,1.38,1.91,1.38,4.82,1.57
g_0,1.25,0.52,0.53,0.79,0.56,0.68,1.25,0.56,1.39,1.08,1.03,2.12,1.14,1.05,1.45,0.92
