,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.66,0.81,0.65,0.61,0.57,0.88,1.37,0.77,0.8,0.8,0.89,0.84,0.63,0.49,0.82
f_1,1.13,1.5,0.66,0.55,0.6,0.46,0.62,0.8,0.69,0.71,0.76,0.42,0.84,0.67,0.54,0.85
c_1,0.57,0.68,1.56,0.67,1.04,0.64,0.8,0.77,0.8,0.46,0.64,0.81,0.76,0.59,0.69,0.79
d_1,0.69,0.88,0.56,1.58,0.61,0.52,0.86,0.55,0.71,1.29,0.86,0.79,0.95,0.82,0.72,0.6
b_1,0.7,0.7,0.69,0.76,1.6,0.99,0.71,0.71,0.61,0.72,0.41,0.75,1.04,0.55,0.61,0.74
a_1,0.74,0.8,0.73,0.88,0.55,1.72,0.87,0.84,0.97,0.84,0.9,0.78,0.91,0.48,0.7,0.84
h_1,0.88,1.39,0.84,0.82,0.8,0.61,1.73,0.99,1.05,1.0,0.97,0.98,0.81,1.04,0.8,1.14
d_0,0.71,1.04,1.53,0.6,1.0,0.69,1.08,1.59,0.87,0.96,1.0,1.09,1.28,0.93,1.07,1.04
g_1,0.84,0.93,0.83,1.27,0.9,0.6,1.03,1.14,1.79,1.16,1.12,1.27,1.06,1.0,0.97,0.77
c_0,0.96,1.2,0.73,0.89,0.66,0.68,1.22,1.1,1.01,1.66,1.99,1.13,1.28,1.16,1.04,1.12
b_0,1.04,1.03,1.02,1.02,0.57,0.72,1.37,1.15,1.02,0.92,1.66,1.2,1.07,1.86,0.87,1.31
f_0,0.8,0.89,0.97,1.0,0.96,0.94,1.1,1.21,1.02,1.13,1.31,1.7,1.2,1.13,1.73,1.01
h_0,1.05,1.41,1.01,0.88,0.83,0.73,0.81,1.05,1.21,1.02,1.24,1.11,0.95,0.95,0.99,1.25
a_0,1.14,1.06,1.19,0.92,0.82,0.53,1.06,1.3,0.97,1.12,1.01,1.06,1.47,1.72,1.15,1.19
e_0,0.72,1.24,1.06,1.01,1.05,0.91,1.17,1.07,1.13,1.17,1.43,1.04,1.47,0.98,1.8,1.24
g_0,1.06,0.8,0.92,1.57,1.06,0.84,1.12,1.05,0.91,1.14,1.13,1.76,1.4,1.01,1.04,0.91
