,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,15.55,0.62,0.81,0.42,0.5,0.49,0.84,2.3,0.92,0.93,1.03,0.91,0.95,1.1,0.99,0.51
f_1,1.17,16.87,0.51,0.52,0.48,0.55,0.78,0.7,0.63,0.86,0.35,0.84,0.81,0.75,0.79,0.64
c_1,0.51,0.49,17.84,0.56,1.2,0.54,0.74,0.86,0.77,0.29,0.95,0.65,1.04,0.87,0.97,0.96
d_1,0.47,0.71,0.41,20.11,0.51,0.52,1.0,0.41,0.96,2.23,0.96,1.19,1.14,0.85,1.24,0.92
b_1,0.48,0.48,0.51,0.57,19.26,1.57,0.88,0.69,0.93,0.76,1.03,0.47,0.99,0.77,0.75,0.87
a_1,0.47,0.54,0.58,0.8,0.61,26.42,0.82,0.82,0.98,0.84,1.07,0.98,0.89,0.43,0.87,1.31
h_1,0.57,1.13,0.77,0.87,0.63,0.69,4.64,0.9,1.62,1.01,1.15,1.06,0.7,1.33,1.53,1.29
d_0,0.74,0.66,2.56,0.32,0.75,0.55,1.17,2.74,0.93,0.6,1.17,1.16,1.13,1.32,1.13,1.36
g_1,0.67,0.63,0.77,1.46,0.55,0.65,1.22,0.99,5.88,1.04,2.11,1.0,1.15,1.12,0.65,1.12
c_0,0.87,0.87,0.36,0.95,0.55,0.6,1.51,1.28,1.23,3.33,1.39,3.43,1.25,1.4,1.31,1.28
f_0,0.58,0.5,0.9,0.86,0.86,0.59,1.45,1.15,1.26,1.19,3.18,1.54,1.36,1.38,1.31,3.17
b_0,0.82,0.93,0.69,0.68,0.37,0.42,1.5,1.64,1.21,1.43,1.16,4.47,1.37,3.68,1.17,1.41
h_0,0.63,1.24,0.6,0.85,0.77,0.61,0.81,0.98,1.51,1.26,1.02,1.31,0.74,1.25,1.8,1.18
a_0,0.83,0.78,0.88,0.72,0.74,0.36,1.35,1.31,1.0,1.1,1.18,1.52,1.29,4.91,1.17,1.45
g_0,0.63,0.6,0.59,1.49,0.76,0.52,1.28,1.02,0.76,1.3,2.32,1.39,1.07,1.12,0.92,1.61
e_0,0.45,0.76,0.91,0.96,0.89,0.52,1.46,1.13,1.38,1.29,0.99,1.29,1.48,1.48,1.41,4.94
