,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.63,1.2,0.52,0.56,0.49,0.44,0.77,0.7,0.8,0.85,0.96,0.43,0.99,0.9,0.57,0.86
e_1,0.63,16.04,0.75,0.44,0.54,0.49,0.87,0.92,2.12,0.93,1.06,0.9,0.89,0.98,0.43,1.03
c_1,0.51,0.41,17.32,0.66,1.2,0.55,0.79,0.86,0.89,0.25,0.71,0.9,1.05,0.83,1.05,0.89
d_1,0.62,0.5,0.42,18.12,0.6,0.56,0.95,0.91,0.34,2.16,1.27,1.02,1.0,1.01,1.01,0.87
b_1,0.54,0.48,0.6,0.51,18.74,1.33,0.93,0.89,0.93,0.89,0.29,1.0,0.8,0.84,1.1,0.97
a_1,0.55,0.68,0.49,0.78,0.46,29.12,0.98,0.87,0.72,0.93,0.9,0.97,0.82,0.37,0.91,0.61
h_1,1.03,0.66,0.72,0.81,0.69,0.55,4.98,1.57,1.04,1.09,1.08,1.11,0.68,1.15,1.21,2.2
g_1,0.61,0.39,0.78,1.56,0.68,0.7,1.07,6.22,0.94,1.16,1.28,2.51,1.16,1.41,1.81,0.81
d_0,0.62,0.69,2.16,0.34,0.67,0.72,1.13,0.94,2.61,0.76,1.37,1.21,1.3,0.97,1.31,1.47
c_0,1.02,0.66,0.42,0.85,0.51,0.91,1.4,0.9,1.17,2.74,3.16,1.25,1.34,1.53,1.51,1.11
b_0,0.89,0.83,0.83,0.78,0.35,0.61,1.09,1.23,1.09,1.22,3.52,1.11,1.62,3.21,1.33,1.5
f_0,0.44,0.48,1.01,0.74,0.71,0.93,1.61,1.36,1.47,1.36,0.99,4.05,1.53,0.83,4.16,1.59
h_0,1.29,0.72,0.79,0.79,0.66,0.64,0.52,1.73,1.0,0.95,1.13,1.25,0.81,1.27,0.96,2.02
a_0,0.88,0.83,0.84,0.76,0.78,0.55,1.23,0.8,0.76,0.98,1.19,1.06,1.45,4.39,0.68,1.28
e_0,0.89,0.33,0.79,0.67,0.77,0.96,1.34,1.55,1.46,1.06,1.19,1.61,1.87,1.24,5.15,1.34
g_0,0.62,0.61,0.82,1.44,0.62,0.69,0.99,0.94,1.01,1.15,0.93,2.37,1.4,1.21,1.44,0.72
