,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.48,1.02,1.18,1.6,1.18,1.21,2.62,2.29,2.56,4.39,3.11,2.96,3.35,2.57,1.9,3.05
d_1,1.34,2.5,1.2,1.06,1.19,1.17,2.45,2.05,4.27,1.61,2.97,2.82,3.33,2.93,2.9,3.16
f_1,1.85,1.29,2.51,1.08,1.09,0.98,2.25,2.52,2.38,2.59,1.52,2.56,2.59,2.88,1.85,3.35
c_1,0.95,1.25,1.32,2.63,2.0,1.08,2.23,2.33,1.74,2.22,2.69,1.89,3.42,2.32,2.74,3.55
b_1,1.17,1.14,1.22,1.04,2.68,2.21,2.33,2.34,2.16,2.5,2.59,1.53,3.78,2.31,3.02,3.33
a_1,1.23,1.32,1.38,1.47,1.02,3.16,2.2,2.61,2.39,2.91,2.6,3.68,3.11,2.03,3.19,3.17
h_1,1.15,1.41,1.67,1.45,1.27,1.28,3.91,3.07,2.75,2.65,2.94,3.13,3.39,2.85,2.91,4.47
g_1,1.31,1.99,1.19,1.02,1.21,1.4,2.54,4.39,3.23,2.5,3.89,3.37,3.03,2.83,3.24,2.9
c_0,1.36,1.32,1.52,1.05,1.26,1.35,2.95,2.74,4.15,3.15,3.09,5.09,3.64,3.68,2.83,3.96
d_0,1.12,0.98,1.39,2.47,1.42,1.05,2.79,2.33,2.0,4.18,2.76,2.91,4.04,3.2,2.92,3.65
f_0,1.12,1.39,1.41,1.32,1.48,1.34,2.92,2.63,3.09,2.98,4.48,3.29,4.13,3.04,6.14,3.62
b_0,1.23,1.68,1.57,1.61,1.0,0.88,2.68,2.6,2.5,2.97,2.87,4.5,4.26,5.76,3.14,3.42
h_0,1.14,1.39,1.88,1.54,1.18,1.42,1.89,3.53,2.69,2.91,2.69,2.89,3.11,3.41,2.8,4.58
a_0,1.38,1.44,1.54,1.49,1.36,0.8,2.93,2.81,2.81,2.7,3.32,2.6,4.16,5.01,3.39,4.39
e_0,1.02,1.42,1.71,1.29,1.28,1.32,3.13,2.68,3.06,2.67,2.35,3.17,4.63,3.04,5.01,3.9
g_0,1.13,1.9,1.2,1.55,1.29,1.39,2.27,1.91,2.76,2.54,3.69,3.35,3.18,2.8,3.22,2.69
