,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.95,0.55,0.44,0.63,0.52,0.38,0.41,0.34,0.52,0.29,0.32,0.32,0.32,0.23,0.17,0.27
f_1,0.86,0.95,0.49,0.55,0.43,0.32,0.34,0.31,0.33,0.32,0.23,0.3,0.29,0.22,0.18,0.22
d_1,0.6,0.62,0.95,0.46,0.52,0.37,0.38,0.32,0.26,0.51,0.29,0.34,0.33,0.26,0.23,0.22
c_1,0.49,0.54,0.59,0.95,0.82,0.39,0.38,0.3,0.31,0.24,0.29,0.23,0.33,0.23,0.23,0.28
b_1,0.54,0.6,0.59,0.45,0.95,0.67,0.38,0.33,0.34,0.35,0.35,0.24,0.33,0.2,0.27,0.29
a_1,0.63,0.75,0.68,0.58,0.49,0.94,0.46,0.44,0.4,0.41,0.36,0.4,0.41,0.24,0.32,0.28
h_1,0.81,1.05,0.88,0.84,0.71,0.54,0.78,0.55,0.51,0.44,0.41,0.46,0.4,0.32,0.36,0.51
g_1,0.84,0.81,1.09,0.86,0.85,0.49,0.58,0.78,0.48,0.53,0.66,0.41,0.41,0.36,0.37,0.37
d_0,0.79,0.95,0.71,1.34,0.81,0.65,0.59,0.52,0.7,0.42,0.48,0.45,0.51,0.36,0.36,0.43
c_0,1.09,0.96,0.86,0.74,0.75,0.6,0.69,0.54,0.62,0.69,0.54,0.81,0.49,0.48,0.36,0.46
f_0,0.76,0.93,0.96,1.02,0.99,0.69,0.69,0.52,0.58,0.49,0.71,0.49,0.58,0.38,0.71,0.48
b_0,0.92,1.02,0.93,1.1,0.81,0.45,0.61,0.64,0.62,0.49,0.55,0.71,0.55,0.72,0.4,0.44
h_0,1.03,1.27,1.02,0.9,0.85,0.61,0.52,0.8,0.62,0.57,0.52,0.53,0.45,0.46,0.35,0.56
a_0,1.13,1.13,0.93,1.02,1.13,0.38,0.75,0.68,0.64,0.59,0.65,0.48,0.52,0.67,0.42,0.59
e_0,0.91,1.22,1.19,0.96,0.93,0.67,0.78,0.63,0.68,0.66,0.47,0.62,0.68,0.44,0.64,0.48
g_0,0.83,1.12,1.51,0.98,0.95,0.84,0.59,0.57,0.5,0.63,0.8,0.57,0.55,0.37,0.52,0.46
