,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.8,1.37,1.67,0.96,1.29,1.17,4.31,11.09,6.76,4.58,7.45,6.85,9.9,6.0,3.12,8.95
f_1,2.41,5.95,1.18,1.31,1.0,1.19,4.51,5.58,5.25,3.56,5.59,2.13,8.01,5.93,5.71,7.19
c_1,1.1,1.29,6.32,1.33,2.48,1.09,4.6,5.78,1.9,4.25,4.05,5.96,9.81,6.15,6.34,8.81
d_1,1.14,1.45,0.94,6.51,1.22,1.09,5.14,3.16,11.73,5.64,8.69,7.33,10.17,7.96,7.22,10.89
b_1,1.02,1.42,1.28,1.17,7.92,2.87,4.46,5.18,4.89,4.17,1.37,5.42,8.53,4.33,7.3,9.32
a_1,1.15,1.58,1.53,1.4,1.07,10.26,4.85,6.44,6.83,4.65,6.42,6.46,9.15,2.68,6.36,8.62
h_1,1.46,2.05,1.48,1.6,1.38,1.53,16.84,6.52,7.17,7.84,6.14,7.67,5.84,8.11,9.5,14.6
d_0,1.52,1.48,3.3,0.78,1.41,1.49,5.87,14.2,5.67,5.03,8.59,8.26,12.69,8.06,8.28,11.01
c_0,1.69,1.57,1.05,2.13,1.03,1.75,5.36,8.65,15.53,6.11,15.27,8.31,11.64,8.65,8.24,13.4
g_1,1.27,1.16,1.53,2.51,1.54,1.4,6.2,6.73,7.3,21.27,7.04,14.27,9.35,9.15,9.63,6.39
b_0,1.81,1.6,1.77,1.82,0.8,1.28,6.34,8.99,7.26,5.78,16.84,7.96,13.11,15.54,7.28,13.36
f_0,1.33,0.72,1.95,1.54,1.87,1.93,6.97,8.4,8.16,6.73,7.73,19.87,11.05,9.1,15.89,12.78
h_0,1.35,2.21,1.72,1.76,1.82,1.33,3.82,8.86,7.67,7.3,7.83,6.83,7.43,7.81,8.16,15.27
a_0,1.82,1.51,1.72,1.66,1.23,0.85,6.77,8.6,8.16,7.18,7.93,10.66,13.63,23.52,8.41,12.51
e_0,0.94,1.96,1.57,2.01,1.49,1.76,7.02,8.28,7.61,7.27,8.28,8.86,11.66,11.38,24.57,10.76
g_0,1.37,1.35,1.56,3.0,1.49,1.24,6.02,6.02,7.21,3.42,7.16,11.94,12.25,8.22,10.35,8.66
