,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.78,1.14,1.71,2.0,2.8,20.82,30.49,45.1,29.6,47.92,49.29,77.13,114.07,126.6,124.88
f_1,1.28,1.0,1.06,1.24,1.77,2.92,15.08,31.13,29.83,31.09,36.02,43.9,64.47,76.14,107.81,95.25
d_1,0.89,0.94,1.0,1.11,1.59,2.35,16.53,20.21,27.29,32.88,34.76,35.58,59.59,74.0,69.96,77.53
c_1,0.58,0.81,0.91,1.0,2.0,2.3,14.02,22.94,16.25,19.79,26.24,26.67,52.13,57.2,74.77,78.83
b_1,0.5,0.56,0.63,0.5,1.0,2.25,11.78,19.5,15.78,17.79,22.07,19.46,37.99,53.49,55.64,58.39
a_1,0.36,0.34,0.43,0.44,0.44,1.0,6.91,9.63,9.6,10.51,14.18,15.02,23.57,28.19,35.95,34.95
h_1,0.05,0.07,0.06,0.07,0.09,0.15,1.0,1.83,1.82,1.64,2.0,2.14,3.77,4.94,5.74,4.82
g_1,0.03,0.03,0.05,0.05,0.05,0.1,0.55,1.0,0.97,1.02,1.77,1.4,1.83,3.01,3.56,3.68
d_0,0.02,0.03,0.04,0.06,0.06,0.1,0.54,1.01,1.0,0.8,1.26,1.3,2.19,2.99,3.74,3.6
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.61,0.97,1.25,1.0,1.45,1.86,2.27,2.99,3.33,4.51
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.5,0.55,0.81,0.68,1.0,1.09,1.72,3.11,2.05,2.57
b_0,0.02,0.02,0.03,0.04,0.05,0.06,0.46,0.73,0.79,0.54,0.95,1.0,1.7,2.28,2.61,3.88
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.27,0.55,0.45,0.44,0.56,0.6,1.0,1.09,1.77,1.52
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.33,0.33,0.31,0.32,0.45,0.91,1.0,0.96,1.17
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.28,0.28,0.29,0.49,0.38,0.56,0.98,1.0,1.04
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.26,0.31,0.23,0.4,0.26,0.64,0.86,1.0,1.0
